timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total
"(1, 0)",349691.6645048387,35933428.09717742,51544.99058169355,9965555.057169355,3476213.459524194,20138638.29144355,2353007.779968548
"(1, 1)",350486.25696370966,36206670.49854838,49783.80574911291,9863730.915774193,3523585.8328306456,20398970.64646774,2420372.7529258067
"(1, 2)",360640.3970967742,36944710.63217742,49734.6707275,9994938.88603226,3624675.8960725805,20836511.446258064,2488572.444737097
"(1, 3)",368295.65842177416,38048936.39943548,51359.444024435485,10291646.568645163,3730008.5751129035,21462423.847314514,2564837.0129387095
"(1, 4)",384546.8588475807,39465859.03064516,54794.56451233871,10733169.609508064,3856355.147846774,22218236.32144355,2658081.900400806
"(1, 5)",400183.95019596774,41167752.6132258,57884.271442419355,11333598.13008871,3969012.4947499996,23086770.9715,2778345.699096774
"(1, 6)",418212.73056935484,43272384.89048387,65549.82883024194,12224092.183467742,4080489.6060887096,24065492.25153226,2902282.032064516
"(1, 7)",436619.4449548387,44992515.11637097,70852.61907491935,13091747.756564515,4139461.9963790323,24773779.711290322,2987496.4453870966
"(1, 8)",411316.2741669355,44994137.797419354,50461.88583917743,13329812.891491937,4044671.308903226,24654069.673709676,2965580.1296370965
"(1, 9)",362503.74900564516,42947310.49104839,20949.790311894998,12825849.47958871,3784704.999975806,23534735.490806453,2802016.079016129
"(1, 10)",312397.8011266129,40031583.15306451,-5831.907039720161,11990120.1405,3500429.009951613,21973588.18887097,2567433.9949919353
"(1, 11)",269347.25961290323,36917134.83145162,-24706.16007409847,11102704.226435484,3222141.0866693547,20259055.79214516,2333206.971220968
"(1, 12)",244558.41045395163,34125574.853064515,-33609.504868025004,10312756.370508065,3004264.1191411293,18674182.633096777,2134352.743197581
"(1, 13)",224660.68537201613,31267693.205806453,-32700.334158212096,9475862.659870967,2778199.5502540325,17079277.133903228,1934342.440382258
"(1, 14)",219666.41976169354,28852492.242580645,-20027.220384285483,8769646.080620967,2613698.7711201613,15716404.70633871,1752734.8070193548
"(1, 15)",237006.8257344355,27641518.884112906,4403.679687011048,8478516.210120967,2557886.5558733875,14958376.095354838,1646739.7255185484
"(1, 16)",274065.9481582258,28122757.731854837,35971.56905237831,8798024.308185482,2624498.4562790324,15060999.772153225,1639226.8561064517
"(1, 17)",317682.5428741935,29940425.810564514,65356.36419951613,9679890.120419355,2756119.941539516,15791046.882596774,1713356.0416346774
"(1, 18)",336112.687175,32123641.66435484,73466.64596153227,10707914.628491936,2893803.0227846773,16690699.84582258,1831209.9839524194
"(1, 19)",345316.7997645161,33695732.5125,75470.83660282257,11354970.374467742,3018415.5694500003,17395015.417209677,1927313.4751620968
"(1, 20)",354045.1240233871,34817745.84129032,74740.83112379033,11597826.823725807,3145311.9182951613,18062689.17741129,2011920.4704032259
"(1, 21)",359065.35470725805,35735881.197661296,69751.86415403226,11526133.135096775,3252222.8616524194,18848132.63210484,2109388.5782693545
"(1, 22)",358190.03599032253,36164480.962903224,63003.225668306455,11122397.027056452,3342113.653812097,19493640.89642742,2206321.4841459678
"(1, 23)",354108.16653145157,35944214.582177415,56497.96790306452,10410667.835306453,3408186.5854274193,19844490.037040323,2280864.8552919356
"(2, 0)",243004.81408205355,23880816.750160716,39063.67511508929,6560421.619026786,2315920.2287383927,13531563.62917857,1472911.665511607
