timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total
"(1, 0)",41368.02206459678,18216786.225298386,19238.593817491936,7651971.06567742,61971.56207704839,9346404.31958871,1156429.267698387
"(1, 1)",42520.12361814516,18650046.99455645,19255.031389201613,7639704.757564516,64864.57531298387,9728270.15282258,1217189.6429346774
"(1, 2)",43926.61562193549,19247641.422370967,19877.76111110484,7813236.65658871,67490.43531209677,10095828.789411291,1271064.2918532258
"(1, 3)",46144.48593693548,20135217.13044355,20607.206171362905,8142053.284548388,70727.860075,10587314.306854839,1335094.8641540322
"(1, 4)",48839.95926096774,21113705.899596777,21778.239619362903,8541766.81751613,74443.74797165323,11094763.436580645,1402702.6006725805
"(1, 5)",51744.95184467742,22333010.68087903,23299.52534048387,9076773.615975806,79457.18293967743,11704784.64207258,1471964.1939266128
"(1, 6)",55376.51047072581,23792797.886701614,25231.53164967742,9805837.117193548,83304.13690314516,12359866.741274193,1543753.5278403226
"(1, 7)",60317.20179185484,25210458.708580643,29207.97311766129,10607610.200250002,84046.49476540323,12913279.123080647,1605486.1410758065
"(1, 8)",58404.73873669354,25514988.009919357,27181.229143951616,10880400.226620968,80673.8870208871,12957407.315241935,1596488.2932419353
"(1, 9)",48301.58508548387,23952773.83419355,18167.47651351613,10281936.926064515,72403.10366879033,12139982.498645162,1458448.3534693548
"(1, 10)",35999.020289258064,21441938.23028226,9248.057343993549,9312288.340298388,61437.976663806454,10804102.674298387,1264094.088076613
"(1, 11)",25638.593658376612,18827300.518145163,2266.9262219656453,8309592.470419355,51952.547129862905,9390660.594225807,1075059.531792742
"(1, 12)",17521.638455009775,16457950.029435484,-2301.361547962419,7429000.856443549,43432.487717427415,8067185.765822581,918297.9101000001
"(1, 13)",12101.859080658387,14477703.350169355,-4641.184826127661,6676943.846685483,37632.11155158871,6972059.15042742,791048.5765040322
"(1, 14)",9250.662825229838,12713592.966096774,-4711.684003961291,5999813.024967741,33268.146858379034,5998339.835854839,682149.3929024193
"(1, 15)",10738.698858436292,11628118.90785484,-1845.5264842356453,5624740.85442742,32727.903073725804,5359638.953443549,610993.9130822581
"(1, 16)",15182.984637815323,11491243.871725807,3054.11757642121,5688647.873153226,33027.56072708064,5177051.471629032,592504.2285887097
"(1, 17)",23298.664821903225,12306600.084024193,10725.283031113226,6206088.5137661295,35119.248736145164,5432846.729177419,632526.1383911291
"(1, 18)",31463.127097258068,13865687.425758064,17296.187591008063,7045961.503798387,40991.75621876613,6061172.252862903,717542.0732443549
"(1, 19)",36459.99653983871,15352448.834137097,20840.333425967743,7797260.854524193,46136.145087975805,6707398.397693548,801625.0371298387
"(1, 20)",38822.72007129032,16443407.144524194,21789.104272096774,8266526.031129032,48402.83068521774,7253533.271225806,874933.9689830645
"(1, 21)",40698.49712653226,17327396.734024193,22313.858804193547,8467755.710540323,51476.92188919355,7852905.573185484,955258.8480169355
"(1, 22)",40889.88226508065,17875758.53896774,21092.079383387096,8338566.859298387,55018.40564370968,8450610.531064516,1031546.0282435485
"(1, 23)",40803.96150822581,18057124.130588707,19711.292134532257,7971566.293951613,58742.50677330646,8926924.297677418,1099882.9255596774
"(2, 0)",23795.202539035712,10250146.095285714,11056.028485857143,4586588.228008929,24167.828843321426,5096424.585339285,542963.0982833928
"(2, 1)",23685.255151080357,10015071.782535715,10669.230678375,4297107.933625,25547.050441776784,5135902.9510508925,556515.2961678571
"(2, 2)",24211.9732916875,10116909.441633929,10813.810997499999,4254133.810223214,26881.95208882143,5258290.258055357,577587.6921530358
"(2, 3)",25229.914837482145,10586043.395223215,11024.998963785716,4387285.5930625,28491.754519767856,5555877.3587321425,614342.9979017858
"(2, 4)",26811.77994163393,11192364.626875,11645.9828596875,4603893.7486875,30761.826080089286,5898652.72375,659037.3171267856
"(2, 5)",28844.606615339286,12013261.416446429,12704.201318107142,4947207.020258929,34862.6504025625,6326965.7377678575,704234.0672035714
"(2, 6)",31627.887003339285,13106142.276357142,14226.0293229375,5492761.4115,37714.00703685714,6822149.085758929,753497.0161741071
"(2, 7)",35211.76244258929,14219213.766955357,16978.189860678573,6141582.837758929,37009.009926491075,7246542.072321429,794032.889575
"(2, 8)",33694.257604080354,14614778.140008928,15485.904001142857,6475548.790642858,34079.57336214286,7314876.2153125005,790252.2756892858
"(2, 9)",28404.04725576786,14130286.128035713,10455.924065610267,6406485.305839285,30062.783408375,6965541.696526786,728182.7951473214
"(2, 10)",22558.827265,13278320.15638393,5988.989533985536,6182990.286937499,25249.255673758926,6422524.2354553575,647534.1283098215
"(2, 11)",17609.783792237587,12253393.907294644,2496.465864180893,5858571.0020624995,21199.15051805357,5803518.065223214,570067.0321696429
"(2, 12)",13219.927824667857,11194266.782374999,-216.34622180861606,5525075.038267857,17430.226880651786,5153381.129589287,498334.5148580357
"(2, 13)",9861.04435978482,10227059.5584375,-2292.9612335473216,5214903.2846874995,14809.752032276785,4561611.255169643,435684.09330955363
"(2, 14)",7751.017806474018,9249516.072124999,-2763.815254212143,4892086.498446428,12708.917539733928,3967379.6995982146,377289.9659658036
"(2, 15)",8495.410006772321,8683886.576857144,-1076.4236837173214,4759091.992598214,12950.492984649109,3571413.33371875,340389.8763838393
"(2, 16)",11801.606387928303,8683312.337973215,2667.3930642358036,4889062.059428572,12817.382971339286,3451421.690745536,329995.2743266964
"(2, 17)",17043.557783164822,9142557.939044643,7867.820260452768,5238083.215053571,12912.735080535715,3547081.8788571428,344496.2128967857
"(2, 18)",22373.66248705357,9786037.799258929,12559.558303946429,5643863.077553571,14711.388490866071,3756459.418633929,371041.5162107143
"(2, 19)",25685.801267857143,10413550.839785714,15535.011196428572,6002640.1890178565,16466.109704482144,3998354.5080357143,396126.1847053571
"(2, 20)",27150.481535357143,10864098.319491072,16442.93763794643,6221031.5487410715,16753.851369160715,4208393.254633929,417957.96227803576
"(2, 21)",27421.231065714288,11109664.939428572,16214.080592857144,6201116.439383929,17721.2321455,4444597.796892857,446239.3137658035
"(2, 22)",26236.32385625,10975396.818875,14416.318356428572,5773997.291875,19629.152472848215,4703810.6948125,477953.07064499997
"(2, 23)",24686.247645892854,10547433.89419643,12255.035318348213,5097083.641839286,21598.308222410713,4921153.692642857,507600.83198392857
"(3, 0)",14577.079631008066,6678597.741766129,8486.73690751613,3392372.336064516,30140.386371024193,2880428.6746459673,375656.8720612903
"(3, 1)",14788.947490403227,6833984.247120968,8309.172863274194,3333560.7340161293,32254.00208498387,3060369.5220403224,407837.8283479839
"(3, 2)",15531.676180870967,7272991.3195,8541.755321991935,3448909.529185484,34574.28657717742,3340483.7947258065,449045.1086620968
"(3, 3)",17098.627803016127,7937560.778298386,9013.916654951614,3682281.4095564513,37659.16565941935,3716345.7177177416,501276.08447903226
"(3, 4)",18789.540174612903,8772984.26208871,9813.103257645162,4010926.0518548386,42399.166717403226,4162364.5695887096,557301.1163879032
"(3, 5)",21140.01653655645,9879724.813233871,11160.316307612904,4514349.124766129,46637.98491551613,4701288.02641129,617474.2913330646
"(3, 6)",24465.31464685484,11131503.304120967,13062.493637838708,5156575.798209677,48219.885398419356,5249341.208524194,677376.63275
"(3, 7)",24587.438980395164,11866688.549475806,12621.073180612902,5589078.646774194,46404.47663071774,5530826.199991936,700365.9736991936
"(3, 8)",19088.73257160484,11412832.339669354,7599.002602761048,5506056.325822581,41587.20698040323,5225006.296104839,640153.6771790322
"(3, 9)",10692.412441289516,10185046.02555645,569.9041551977823,5121910.258508064,34864.16812581452,4499210.604209678,529027.512708871
"(3, 10)",2718.0614296105646,8914551.373056453,-5734.041199236291,4708841.56566129,28542.53784181452,3753194.998717742,423946.9482064516
"(3, 11)",-3517.193142784677,7826322.73301613,-10623.01196849516,4365023.4768306445,23262.2231821371,3097817.4709838713,340204.7424959677
