timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total
"(0, 0)",0.0,987109.7267989041,0.0,229977.90394556164,78361.20706103453,425745.70131150685,253021.48641244107
"(0, 15)",0.0,947765.0943931506,0.0,216681.5460599726,76441.92357706383,409699.82054824656,244946.43989983833
"(0, 30)",0.0,959722.5461942465,0.0,214620.51559961642,78110.61581244602,416091.38838526024,250904.5115052274
"(0, 45)",0.0,956260.6748547946,0.0,211423.5961538904,78402.47288154603,415410.71018304105,251028.4878267123
"(1, 0)",0.0,959240.52624,0.0,209371.60481438355,79262.35554784356,417459.7231269041,253151.58001144932
"(1, 15)",0.0,929249.5984539726,0.0,201780.49838057536,77610.87665340192,404267.0033634795,245595.45911822465
"(1, 30)",0.0,941733.7175326027,0.0,201452.2171550959,79178.57479032138,410812.02359501366,250295.4629097507
"(1, 45)",0.0,943099.7702128766,0.0,200228.54738567123,79680.02266403343,411786.32960465754,251409.5305954137
"(2, 0)",0.0,948806.723310411,0.0,199602.27386134246,80481.14738099165,415000.68650057534,253727.29143172328
"(2, 15)",0.0,940049.6392454794,0.0,197405.74489860274,81113.59094481506,410678.6089848493,250845.0460798219
"(2, 30)",0.0,949863.4038517808,0.0,197454.765484137,81819.48112076713,416352.03089287673,254230.13404295617
"(2, 45)",0.0,955628.5122380821,0.0,197758.93112479453,82640.56062603726,418892.99180378084,256329.01724001643
"(3, 0)",0.0,961972.8060262741,0.0,197974.45558860272,83253.21309913178,422241.1122756712,258496.9649281096
"(3, 15)",0.0,973186.1541673972,0.0,200591.31337375342,83536.26256938958,427777.6827047123,261279.00103900547
"(3, 30)",0.0,978805.6662473972,0.0,199850.44687213696,84233.22577640219,430423.44417,264296.56646043836
"(3, 45)",0.0,987905.5517816439,0.0,201696.09482934247,84920.2557197378,434818.8185747945,266468.64255784656
"(4, 0)",0.0,993463.0049465753,0.0,202532.9938080822,85517.53168661479,437116.48892947944,268294.21668702195
"(4, 15)",0.0,1015564.4659273973,0.0,206048.45218720546,85675.03551559726,449655.262189863,274182.8604389014
"(4, 30)",0.0,1019636.172839726,0.0,206416.16893112328,86556.72633484466,450834.2871457808,275826.0848509808
"(4, 45)",0.0,1029793.0101364384,0.0,208759.42132561642,87158.2005063548,455697.973482137,278174.6531275315
"(5, 0)",0.0,1035734.2686846575,0.0,210347.38217980822,87671.13988521177,457931.4410754246,279781.5374249315
"(5, 15)",0.0,1076700.5636947944,0.0,217840.50515465753,91032.66296118466,473033.7006066301,294789.86207720824
"(5, 30)",0.0,1080122.1840452056,0.0,220093.95281660274,91004.39633245753,475250.804070274,293769.11588524387
"(5, 45)",0.0,1094977.7657315067,0.0,224611.9052370411,91597.57169345836,481438.21150326025,297326.1523496767
"(6, 0)",0.0,1103560.2832928768,0.0,228089.14539347944,91702.34114142465,485254.7527752055,298510.10009649314
"(6, 15)",0.0,1145348.8297443835,0.0,240241.2113519452,95975.02898399178,502115.18048964377,307010.2186146986
"(6, 30)",0.0,1148102.367688493,0.0,243409.8226967945,94828.35959744439,503097.09377772606,306760.2246094822
"(6, 45)",0.0,1161201.7221920548,0.0,248888.78779898628,95199.50157194794,508044.8890546027,309061.4107612767
