timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total
"(0, 0)",312794.8350041096,4124329.069852055,177044.57920438357,2425497.8806356164,1839.9250908326026,1622516.1552545205,74489.75746139725
"(0, 15)",292172.5842068493,3838040.5178547944,157257.9718279452,2160364.3295232877,1868.157890470137,1602361.4604873974,73445.06805454794
"(0, 30)",287859.4214276712,3781099.423832877,153047.28631726027,2103334.8405972603,1897.9014915939727,1601658.1727564384,74207.2525489315
"(0, 45)",282013.1207482192,3695682.968632877,147405.765732,2025990.9544328768,1898.8094111660275,1593729.819397534,74062.55524520548
"(1, 0)",276592.7006520548,3623468.9227205478,143106.9113659726,1970162.742430137,1906.263878142767,1577689.7508868491,73707.18132660273
"(1, 15)",258092.63839780822,3376672.439567123,127612.57570868493,1765826.1167753425,1852.9417803243014,1537308.5252876712,71683.11556473972
"(1, 30)",253475.3703838356,3310785.3500493146,124167.41492643836,1718804.1539863015,1843.4395367320546,1518913.7447690412,71223.13550657535
"(1, 45)",247152.1193249315,3228053.421991781,119935.00396260274,1663240.812139726,1841.7459847974521,1492265.539327945,70705.30716646575
"(2, 0)",241850.69754849313,3160085.442416439,116799.45444671232,1622693.4704767123,1820.7578779970959,1465524.8569512328,70046.74409931507
"(2, 15)",226935.34386383562,2981691.4901671233,108317.21102794522,1513757.3487123286,1462.8415908171235,1399924.003349589,66556.63939052055
"(2, 30)",223414.27675780823,2936145.9172438355,105865.13168654795,1482825.7493731505,1482.6359875277258,1385202.7167967123,66644.94030536986
"(2, 45)",219900.7492827397,2890299.3847452058,103667.07365079453,1452960.8617769864,1486.267471423452,1369868.9702339727,65992.70467816439
"(3, 0)",217725.211230137,2859727.1252054796,101847.85843964384,1428303.414281644,1476.1730387488437,1363639.8959249316,66317.88064860275
"(3, 15)",208289.10616328765,2757511.3426,98068.53894956165,1389173.9374731507,1501.3879292269314,1303289.9845723289,63559.151433972605
"(3, 30)",206888.10517178083,2742865.12970137,96769.9571590685,1370172.0806476711,1479.94877883263,1307173.732110137,64052.39906556164
"(3, 45)",206539.1457920548,2738416.8474876713,95723.76411232878,1356958.2238002738,1515.504037389863,1315312.0283421918,64644.11864316438
"(4, 0)",207204.36817041098,2743609.5726465755,94781.52023358905,1343762.3416326027,1539.2318450146493,1332749.239868767,65572.90968596164
"(4, 15)",203256.56175671233,2716509.2983068493,93769.0112580274,1329425.7358249314,1596.8357460252055,1319818.1708756164,65665.32229384109
"(4, 30)",203184.15682027396,2715027.247550685,92882.05749821918,1315935.4535654795,1602.3649179550218,1331323.3834567124,66162.49380757535
"(4, 45)",205535.85110328768,2743900.9054027395,92621.60346857534,1312064.609209863,1629.7663976374768,1362536.2790350686,67667.35399419178
"(5, 0)",207390.29979589043,2766891.456641096,92078.1440601096,1304526.8671383562,1658.8717332610083,1391684.9150175343,69016.42665029042
"(5, 15)",212742.94495917807,2869802.9482739726,93330.57899526026,1324831.668059726,1698.4010355535067,1471195.120371233,72058.15750940549
"(5, 30)",212680.9601049315,2860558.0578821916,92451.34092142465,1311520.266209315,1736.3184403664027,1475139.4388035617,72141.51969038356
"(5, 45)",217826.00780000002,2932753.5404849313,92784.04020975342,1317512.7911827397,1756.7050261437807,1538398.2368136987,75064.89768961917
"(6, 0)",220785.6413419178,2970065.137572603,92575.75646057536,1314912.2755827399,1787.8540556793698,1576661.3810849313,76683.7159760822
"(6, 15)",233568.1704161644,3126437.7176273973,94946.28474830138,1351128.3411756165,1770.5372879438985,1693484.3500547945,80050.89692833973
"(6, 30)",233629.31442356162,3136925.8400465758,94436.63677923287,1345463.4247531507,1811.3938636844932,1708392.0694221917,81255.20404268493
"(6, 45)",240629.4037830137,3227583.175268493,95220.99863547947,1356452.6310079452,1838.4788351935615,1784890.1687356166,84397.39921793425
"(7, 0)",244733.81135452056,3284523.0606,95231.6404569589,1359776.0483265752,1891.9838778247397,1836568.680498356,86282.51654041096
"(7, 15)",266989.67194958904,3561244.324219178,101614.3247348767,1435863.529920548,1926.528371093726,2031643.8561726029,91810.85055803288
"(7, 30)",269463.83368630137,3596627.836482192,101356.60048726028,1437681.8078054795,1961.7259054304934,2063094.054330685,93890.9306839452
"(7, 45)",279620.9476378082,3732033.9147342467,102845.94768383562,1460129.303660274,2049.094404451918,2172214.1343936985,97642.25027402739
"(8, 0)",285878.55163397256,3830606.0883041094,102111.7281761096,1474363.5848657533,2082.3726706703287,2253346.477849041,100814.70074824659
"(8, 15)",307627.8500613699,4157314.992578082,107445.69859010959,1594379.028739726,2162.052821048959,2452672.1531463014,108084.8763529589
"(8, 30)",308842.23430767126,4213275.336287671,105067.21580041095,1605993.674671233,2203.84842282863,2495823.3070830135,109237.5397540822
"(8, 45)",313965.95036630135,4350109.220753425,102326.80419578083,1646836.0273808218,2237.74667955137,2588593.3126484933,112424.72146975344
"(9, 0)",312481.1285678904,4427350.4218958905,95497.89833334247,1665229.135,2270.3023040041094,2645358.5562731507,114476.04542923288
"(9, 15)",321900.5944016712,4713863.292260274,94620.44340580383,1808684.420449315,2358.7570014336984,2781863.15949589,120954.91176405479
"(9, 30)",309009.121785863,4694792.687082192,82636.45617093261,1816377.9556054794,2299.345426732438,2756852.420853425,119262.59184471233
"(9, 45)",298362.3549459452,4751217.236684931,70056.83460627726,1853579.1885890411,2286.0308929301373,2775531.5203742464,119818.11828854795
"(10, 0)",278040.00942923286,4730112.788682192,51675.613338581454,1862097.5221835617,2283.3724577338903,2747757.199350685,117973.15550476713
"(10, 15)",271599.59456155065,4938412.521717808,39829.162490627124,2005289.935649315,2636.7534241257536,2809580.3224030137,120900.05417153426
"(10, 30)",238364.3751872504,4810477.189846575,16000.586496092055,2001576.5925178083,2380.7692881953426,2690544.478317534,115971.12613649316
"(10, 45)",210287.90960016084,4765474.9988,-6524.1093538219175,2024298.7014136987,2420.663119246575,2625853.659351233,112897.91049446576
"(11, 0)",176738.03446098822,4664869.504706849,-31872.642550815617,2027913.2557945205,2311.0358148534247,2525835.1492652055,108805.77014115069
"(11, 15)",162276.61879267092,4813235.030369863,-49620.445770323015,2148119.800668493,2842.153607727534,2554131.7272663014,108128.87934610958
"(11, 30)",121992.80713293124,4658462.70519452,-77247.96979266191,2152228.85950137,2593.1099046408767,2401465.4980750685,102162.61177178082
"(11, 45)",93512.56890355807,4597481.502208219,-99019.58777449589,2178259.942109589,2606.016360645205,2317837.62254411,98764.84462446574
"(12, 0)",61790.67417481562,4496091.592616439,-121639.49550744987,2193294.0948328767,2398.2841651449316,2206158.5021153423,94227.24742726028
"(12, 15)",44600.7807025063,4575740.723841095,-139773.57066238354,2264168.536238356,2276.739395538137,2215494.5655646576,93797.02885583561
"(12, 30)",12130.958149726028,4457358.445775342,-161639.3650073178,2284088.7634246573,2165.4688927950683,2082426.8886526027,88672.44628873972
"(12, 45)",-9473.067698051782,4417536.784227397,-177658.23670537534,2317077.6730821915,2041.334316600548,2012977.2019526027,85435.27047863013
"(13, 0)",-32234.146848432876,4355249.939380822,-193180.10431698084,2347412.9415616435,1957.5543357504112,1924257.3784,81617.29423408219
"(13, 15)",-48085.77831644329,4396914.654747945,-209215.87874920547,2382465.458180822,1865.5618625663014,1930401.904800274,82179.71406093151
"(13, 30)",-69703.32730864192,4314481.118060274,-222520.362289463,2412324.5153863016,1783.1140155631233,1823051.874859452,77319.48170852054
"(13, 45)",-82888.47088833699,4300554.494057534,-231020.41859164357,2448486.1293671234,1696.5080135021371,1775397.2092260274,74972.13358312329
"(14, 0)",-94617.68045639177,4271218.994619178,-237643.64046106848,2485443.8210191783,1648.1734465441643,1712643.9693898628,71479.67178084933
"(14, 15)",-99747.28632526637,4309448.534219178,-243899.03281842193,2526000.5042767124,1512.7480056907673,1709801.9225334246,72141.99386989042
"(14, 30)",-111592.73428947918,4257688.398879453,-247822.25972668492,2567911.099287671,1442.7326301290411,1620672.170763014,67671.37955652055
"(14, 45)",-114761.20508505727,4249396.803241096,-247052.92856560275,2609673.8463945207,1380.116701948767,1572958.9627931507,65391.4739150137
"(15, 0)",-118196.20218577453,4225139.289512329,-244486.8924207233,2653359.420920548,1336.8839820692328,1508166.1405271234,62283.70328024658
"(15, 15)",-117687.18494635506,4205561.486463014,-242789.0093939049,2660702.945378082,1247.3030366339726,1480245.6716676713,63374.40535219178
"(15, 30)",-120199.7040579063,4167888.3053643834,-238450.6160265589,2700121.9658246576,1180.1216533049042,1407324.9796506849,59270.62807350685
"(15, 45)",-113645.20316412549,4170100.8840273973,-228393.24668595614,2743324.5439972603,1155.8333462999453,1367967.65116,57661.743244876714
"(16, 0)",-106725.83485590412,4162329.9622164387,-217012.78658906984,2787348.573227397,1123.8516358750685,1318566.7794750684,55298.96281712329
"(16, 15)",-101558.7035227863,4119442.350158904,-207621.28814757263,2792766.6526657534,1095.6522757094247,1271869.0988249315,53728.77305449315
"(16, 30)",-91535.94203236082,4124293.2662904114,-193691.7477105504,2839071.1281506848,1052.385338716356,1232602.238740274,51583.900131780814
"(16, 45)",-76212.14312670959,4148560.9586821916,-176297.67468304656,2882967.4534657532,1048.002633958685,1213742.327520548,50818.47590120548
"(17, 0)",-58961.49837041316,4178343.3235232877,-157431.38804893973,2928463.0515041095,1008.374763112411,1199103.9937,49784.38621084932
"(17, 15)",-37961.43871137507,4240657.554873973,-136954.4319857945,2983143.5087342463,988.337347238137,1206763.8859263014,49758.32697542466
"(17, 30)",-18781.621145033427,4274894.5421616435,-116569.90695073864,3022691.7328849314,987.7391312728492,1201827.1501619178,49385.4825060274
"(17, 45)",5966.494844801178,4323303.268276712,-92439.59590726164,3057558.46140548,1000.3018609884932,1215001.1049320546,49740.0319089863
"(18, 0)",31614.891448637532,4373613.088767123,-67913.76817190403,3090038.916487671,970.0354770284931,1232351.6204531507,50249.36216002739
"(18, 15)",65850.60729212164,4523361.432112329,-38843.00268000274,3179567.588126027,992.7258844448493,1291560.8582167123,51229.31748441095
"(18, 30)",91815.64892238553,4568210.488550685,-14539.351703577258,3200510.5767424656,994.1742786345206,1314782.2983057534,51912.405657013696
"(18, 45)",124003.67812180822,4622801.374849315,14310.95316864904,3213044.4282821915,1018.8228372679453,1355831.7991479451,52895.71172947945
