timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total
"(0, 0)",63997.98901928767,881656.9762142466,30744.044028958902,422473.334730411,307.8218726737863,438627.6644936986,20255.018709972603
"(0, 15)",59402.753899205476,819952.9292410958,26555.633909123288,365216.57501123287,314.0070019391452,434074.9915547945,20347.498776572604
"(0, 30)",59018.90979969863,814257.2197542466,26200.519922328767,358862.62869863014,341.37232036035067,434680.6544084932,20372.66836848219
"(0, 45)",58157.58865284932,799892.5970673972,25294.27528487671,346522.4680712329,340.40452085987124,432570.7538868493,20459.161415213697
"(1, 0)",57051.324799890404,788838.2147684932,24723.208296082194,339327.4793531507,335.6139327448767,428743.93757808214,20430.95641689589
"(1, 15)",53771.44799564384,733738.2393383562,21440.488897945208,293697.25847342465,420.40856718516716,419861.55284246575,19759.49350322192
"(1, 30)",52791.81676150685,720945.622639452,21048.770672164384,286927.8345821918,370.7317568143781,414177.5275164384,19470.756216854792
"(1, 45)",51452.815013041094,704423.9107520548,20320.220346136986,277618.21556054795,404.92630249978083,407185.60885945207,19216.292020030138
"(2, 0)",50218.43340328767,690816.7078317808,19852.297188547946,271787.00821315066,385.5018781654,399562.9907306849,19082.062622257534
"(2, 15)",46825.00579742466,642421.5596934246,18164.206204246577,246071.88667534248,410.3211334468165,377809.5246246575,18131.742414821918
"(2, 30)",46191.46223383561,633707.4762317808,17878.325102383562,242427.9615378082,391.9257494615178,373046.8522175342,17843.35488197534
"(2, 45)",45592.76372819178,624592.6001087672,17634.66899619178,238521.093400274,383.65629343873974,367962.8713419178,17727.424049383564
"(3, 0)",45169.68506054795,620137.7491723287,17450.463018849317,236116.3801909589,391.10006755747673,365760.95483260276,17871.83400568219
"(3, 15)",42438.29122712329,584832.9728027397,16704.073939342466,226874.6354706849,402.2764215525123,340899.38135958905,16661.614526482193
"(3, 30)",42273.459883999996,584341.1381827397,16589.652109917806,225593.9421860274,400.45669407905757,341688.32400895894,16663.963647115066
"(3, 45)",42490.92295624658,585438.5833706849,16546.43935268493,224673.97568575345,398.7575040962767,343492.4943743562,16879.08867948219
"(4, 0)",42727.69924638356,589611.6378175343,16523.74603783562,224325.6645860274,420.0498709168,347692.0151753425,17179.35265629589
"(4, 15)",41366.56992263014,579779.5892090411,16063.824481753425,221327.53868246576,410.8501375580658,341227.16988,16812.52942549315
"(4, 30)",41624.93273038357,581450.6787794521,15984.591254054792,220265.34110630138,417.97079338243833,343705.5805689041,17060.20425030137
