timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total
"(0, 0)",84130.58051189041,2958005.9352082196,28545.189281945208,1129254.5370183561,22711.31096555452,1677844.6267843833,128199.77351934246
"(0, 15)",79609.99309712328,2818791.395204657,25301.40256046575,1016189.7351972603,22407.80530757808,1652565.6953679451,127626.01655580822
"(0, 30)",79876.20814638356,2825628.498212603,24864.665877342464,999406.1135958903,23209.602507718904,1673915.084930137,129094.31946564384
"(0, 45)",79500.17584936986,2809319.997157534,24197.364746876716,974032.7808671233,23688.731892178355,1681838.2188213698,129756.8624119452
"(1, 0)",79383.07210876713,2801014.2144372603,23727.44881838356,956243.7987923287,24299.78976856329,1690512.0344210959,129955.39604043835
"(1, 15)",74931.44012027397,2660568.6657383563,21460.497543205478,879392.6863917809,24690.314755529314,1629090.662831507,127394.10764813698
"(1, 30)",75426.77499712328,2670477.0719594522,21142.02958761644,866463.9291334247,25316.102509532328,1650210.644861918,128485.5008669041
"(1, 45)",75099.92374931507,2655802.1573230135,20711.427774849315,849596.9381852056,25806.083963153702,1651759.0200660275,128639.44125764385
"(2, 0)",75264.04314394521,2654817.012486575,20489.13624739726,837896.9905317808,26282.380326967672,1661143.8191301369,129493.10710665752
"(2, 15)",72029.80942068493,2526066.5670649316,19387.021551397258,793293.7063183562,25508.096201003013,1583013.3616624658,124255.62289134246
"(2, 30)",72585.50908775342,2551959.183549863,19270.92868649315,787833.7813328768,26319.11568664493,1611987.8559646574,125823.51816594794
"(2, 45)",72950.94866572603,2556555.439180548,19133.010861780822,780611.1684682191,26703.54283708115,1622928.3468482192,126317.5308218082
"(3, 0)",73581.98524421918,2574111.252412603,19051.580543364384,776167.9907301371,27240.53119497148,1643274.240720822,127433.79423427946
"(3, 15)",71664.62627709589,2511739.4714041096,18930.92632821918,754022.5688852055,26119.55321209178,1607086.4674265755,124512.31916934795
"(3, 30)",72355.34116641096,2540177.4367205477,18732.66083110137,752353.2261709588,26943.170033614522,1634064.4648480276,126818.36453728768
"(3, 45)",73150.65539580822,2562963.425923836,18787.34263769863,752147.0824512328,27332.322059518083,1655204.1265717808,128281.97990278904
"(4, 0)",73937.02282375342,2588559.4212123286,18783.992605830135,752157.052270685,27904.06079685356,1678222.9325983834,130276.99009905754
"(4, 15)",73195.5690298356,2625391.5763068493,19033.055862484933,756671.3130169864,27531.105706488495,1710446.3617010685,130736.02316120273
"(4, 30)",74287.14441709589,2647976.0302835614,18885.74401781644,755120.0008536986,28177.57789058641,1730823.6739057808,133847.4624142904
"(4, 45)",75359.16026049315,2688217.593579178,19035.277497652056,761626.5845668494,28644.62941681581,1762058.497738466,135881.5238468329
"(5, 0)",76070.382664,2711287.7876361646,19063.141138797262,763607.3489126028,29156.35330855148,1780873.1273183012,137644.14998601095
"(5, 15)",77320.79653871233,2790241.1013786304,19475.768206082194,782833.5138980822,29399.725333179493,1840242.398431233,137763.69344434247
"(5, 30)",78243.0937220822,2818930.535329863,19450.836672668494,783998.239700548,30022.371140709314,1863879.4671646575,141028.68425469042
"(5, 45)",79871.2629979452,2868509.253471781,19714.998953863014,794204.2436468493,30500.113372000822,1900109.178170959,143694.23778412055
"(6, 0)",80774.95910471232,2897502.2897216436,19876.485081753424,799266.5456931506,30892.54985024685,1921437.8868271234,145903.80862639452
"(6, 15)",86539.4601171233,3048650.0058764387,21413.199737369865,837979.1027991781,31096.864807773698,2027780.111850137,151793.64570038355
"(6, 30)",87301.76242389041,3078630.5752008217,21352.07459252055,841877.6489145205,31720.6356970737,2049979.4500556164,155052.33512164382
"(6, 45)",89505.58537975342,3145131.1539531504,21938.044247753427,859827.5088139727,32163.214415997532,2094323.1791227397,158816.70969939727
"(7, 0)",90440.60198830137,3189124.979931233,22010.898484054796,871000.412880274,32595.129454424386,2123757.511928767,161771.3133300822
"(7, 15)",95961.58827471233,3389116.540360548,23928.97346528219,934138.4009109589,34727.42487131918,2249895.158037534,170350.07382057534
"(7, 30)",96940.69439367123,3422803.723470959,23773.943279772604,944695.7893580822,34740.556654421096,2270154.152311507,173208.14887641097
"(7, 45)",98297.69880789041,3493556.5803493154,23825.956337893153,971342.8419657535,35358.54524309233,2309775.1251572603,177073.6629749863
"(8, 0)",98150.01742383563,3526568.4380863016,23199.41812953151,985086.9624684931,35495.70253565973,2326212.6559928767,179767.16701156163
"(8, 15)",103136.0631269863,3708379.3073824663,23889.812588263012,1058318.0802531508,37722.679772736985,2422826.5378112327,189509.2110380822
