timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total
"(0, 0)",106.65955439558905,94980.97582586302,67.32701573580822,27546.059207342467,27.44425104776712,53566.20412306027,13841.16816790959
"(0, 15)",98.93679428860274,91710.24567989042,58.738993569698636,25105.92521838356,29.921296751076714,52536.960428208215,14036.604565834246
"(0, 30)",92.53703050035617,92760.71019468493,52.329487145397266,24919.831282547944,23.42335321751233,53550.459786386295,14266.21159654411
"(0, 45)",105.38030153057534,92712.57684731505,63.85956696186301,24444.615006246575,22.419003630326028,53873.41883576986,14371.450558116438
"(1, 0)",105.43882054473973,93184.83034495891,62.43265241509589,24155.12648454794,23.208913111534244,54511.085365868494,14494.677992316438
"(1, 15)",108.29089341569863,89758.89669446576,56.9797293330137,22698.694512246573,18.549749758,53076.65835291507,13966.154088817808
"(1, 30)",111.75829080186301,90839.53077550685,59.91249976564384,22584.788786487672,18.410937214515066,53955.4842684548,14282.030394182466
"(1, 45)",103.96204170441095,91123.5404630959,51.95468160610959,22347.104360663012,17.087940903369862,54398.918413701365,14361.531682275343
"(2, 0)",96.11796643843836,91826.46891372603,43.21209361378082,22283.691243367124,18.08762452306849,55072.09004507123,14453.717987724383
"(2, 15)",106.97703462410959,89017.72208252056,42.826010739068494,21741.34563651507,14.636752437410957,53487.67666070685,13775.837229282191
"(2, 30)",108.23762361758904,90508.44438536986,43.6306817490137,21766.64467891233,17.53879005039452,54533.69275802192,14192.224704386575
"(2, 45)",105.675423999863,91034.91040320547,40.467721011835614,21742.78714509863,15.793912474378082,55015.19187129589,14262.792802713699
"(3, 0)",109.43386113268494,92260.28416800001,43.42569960290411,21845.179375265754,13.180192794715069,55904.121356167125,14499.48180075315
"(3, 15)",91.20878497301369,90674.88490243835,45.240023766657536,21297.186477243835,13.974184998364384,55285.8376452137,14077.182738862191
"(3, 30)",85.64364619076713,92381.44846531506,39.04943031249315,21441.8043657863,15.387584437917807,56412.57440305205,14510.954249143835
"(3, 45)",82.84017714887672,93325.01060328768,35.843350355369864,21541.855553378082,12.513542632926027,57125.95540016712,14643.96660709315
"(4, 0)",85.59601443375342,94525.78868794521,38.13331269983562,21669.233713991784,14.807643510553424,57964.24435829589,14876.832816384931
"(4, 15)",83.86163528758904,94956.12721471234,36.02644120279452,21732.701891131506,14.189013936210959,58643.96856252055,14564.484760106301
"(4, 30)",84.98866094830137,96372.66976758905,36.810547661178084,21670.527290753427,12.648466870120549,59788.77117266575,14900.059421051232
"(4, 45)",87.93249785523288,97640.52153063014,39.41826549956165,22028.482502567123,12.740619736405481,60533.11767012603,15065.579188384383
"(5, 0)",85.7715714759726,98812.62024764383,36.890152377424656,22161.233981336987,13.878727070931506,61308.97889545754,15327.913123409588
"(5, 15)",88.26728104975342,101649.10820315068,38.975795950383564,22903.524081471234,13.961936831449314,63941.674093013695,14789.836233881371
"(5, 30)",89.77283335695891,103268.46113372603,40.203035329534245,23085.36845220822,14.03659231929041,64986.2007744,15182.739697965753
