timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total
"(0, 0)",18314.228807939726,7770975.653920549,11830.238021821917,4709679.995852055,16535.457836661015,2734823.395891233,309932.3484718356
"(0, 15)",17722.20302559726,7522471.904419178,11413.044296734246,4505812.8057726035,16604.353574061643,2693102.375889315,306956.9591192055
"(0, 30)",17649.315941128767,7505323.512594521,11270.325643958904,4448946.159550685,16906.891238398795,2725995.2654347946,313481.24884945207
"(0, 45)",17491.559761252054,7463018.407550685,11110.14569681096,4387684.135010959,17190.25682904937,2741347.181650685,316803.28520273976
"(1, 0)",17482.866674446574,7448696.280723289,11037.672236336986,4340650.973816439,17475.776736084026,2768992.2367561646,321583.2354872055
"(1, 15)",17364.856764134245,7321438.975534247,10855.743617013699,4249073.704016439,17553.372754485776,2735012.458986027,319809.0078061644
"(1, 30)",17303.849817553426,7340971.206931507,10732.721161331507,4220971.108323288,17773.37469540484,2775995.0871756165,326241.6345990685
"(1, 45)",17354.71431069315,7347443.060989042,10699.583708128766,4193784.1135041094,18117.91715228107,2805031.6268139724,330520.36311358906
"(2, 0)",17385.840010709588,7371975.995169863,10661.984410416439,4174303.0574876713,18354.4407021106,2843320.237589589,336008.4389655617
"(2, 15)",17305.324846271233,7365205.630164384,10571.914327098631,4152590.865128767,18671.845112526382,2855710.4798435615,338221.6372140274
"(2, 30)",17400.514674035614,7396696.9572465755,10582.16874139452,4138583.4467260274,18869.54469904556,2895441.6674419176,343792.40062517807
"(2, 45)",17544.812258139726,7451945.161942466,10585.366860849315,4139097.181063014,19230.06829072096,2943527.7117953426,350079.43073284935
"(3, 0)",17631.734185410958,7499796.352567122,10571.40883709589,4135642.2561260276,19483.211629493508,2988738.4456646573,355921.40218928765
"(3, 15)",17892.37437412603,7626679.163224658,10483.900698868492,4164501.461476712,20134.371944361345,3074721.7423745207,367307.32948547945
"(3, 30)",17993.338531476715,7656387.447802739,10551.471835800001,4160722.1738328766,20295.09004200745,3104516.5252372604,370838.25597419176
"(3, 45)",18243.58624850411,7744815.103780822,10584.658378786302,4180755.744931507,20631.53198983701,3165272.1056534243,378141.11183005484
"(4, 0)",18341.739160315068,7802992.846720547,10606.456803715068,4189634.5915945205,20885.59296872893,3208667.1879994525,383791.5085404384
"(4, 15)",18828.352562715067,8007652.268884932,10849.797144613698,4260771.1726575345,22348.892019291234,3326262.4925405476,398259.94920808217
"(4, 30)",19050.50668189589,8062645.204731507,10911.545859931506,4277782.639520547,22396.226319177098,3360861.90561726,401595.0897311781
"(4, 45)",19394.015432013697,8186374.510460273,11076.87822250137,4320638.535846576,22799.567553771234,3432764.9429605477,410162.3620164109
"(5, 0)",19569.85884718904,8287118.088624658,11141.815106673972,4356883.147043835,22960.919250821753,3490719.1298030135,416545.2373464109
"(5, 15)",20308.253321035616,8657756.118219178,11560.015831487672,4537415.689852055,24802.65687513644,3662670.970439452,432857.14556046575
"(5, 30)",20521.936569624657,8749426.160936987,11633.983206975343,4579609.518424657,24804.160289415067,3706695.44234137,438305.18293205486
"(5, 45)",21004.470166331506,8934054.908969864,11840.359761419179,4666968.274964384,25175.560834506465,3793939.738570137,447960.5739116164
"(6, 0)",21169.886504580823,9070338.107728768,11810.713638246574,4728553.543167124,25248.141326146164,3860810.236550137,455715.8729074794
"(6, 15)",22287.190037408218,9529444.508252054,12628.86968650411,5014345.373336986,25894.009072953428,4017981.6846849318,471208.99960284936
"(6, 30)",22287.412059852053,9614687.273578081,12486.11123159178,5064218.09700548,25640.15145210986,4049935.887646027,474880.58265597257
"(6, 45)",22374.447719641095,9790619.526369862,12414.246746854795,5170258.119553425,25791.465096523014,4113185.537958904,481370.39010098635
"(7, 0)",22059.027124331507,9883341.173975343,11967.785021358904,5226151.839575342,25573.611445012328,4147182.1924578086,484419.95375271235
"(7, 15)",23034.575247934245,10314018.638372602,12904.120904991782,5534478.795739726,25278.93302050603,4258501.518557808,495746.3919297534
"(7, 30)",22329.883254898632,10317986.714663014,12189.548503976905,5565155.357627397,24881.217582946767,4235878.127915342,492056.77235646575
"(7, 45)",21681.78031499452,10393642.468838356,11516.635904546549,5641779.163424658,24503.02844268082,4237761.872487397,489582.8554012054
"(8, 0)",20515.12308988959,10378385.029010959,10348.610493168357,5663839.039353425,23895.335895633427,4206993.602727945,483641.00095030136
"(8, 15)",19880.466303213452,10628458.460928766,9674.829539038192,5881107.416775342,23515.286978971235,4239630.984827124,484190.53415227396
"(8, 30)",18180.93668642518,10501556.901375342,8207.27811444841,5877626.768191781,22548.979026781097,4133482.228234247,467883.4077714521
"(8, 45)",16931.163019848795,10450731.72650137,7091.10986913474,5913690.50090137,21711.097564040356,4059601.0889131506,455715.24456775346
"(9, 0)",15374.033105449753,10340154.61450959,5720.8261207254245,5919029.383008218,20773.443125951508,3959784.992649863,440552.43806989037
"(9, 15)",14036.860221802795,10453752.558939725,4170.65362454226,6055778.616558905,20419.560956738904,3944705.521953151,432837.1186320822
"(9, 30)",12363.09608026293,10278570.036021918,2863.886479556356,6052402.33180548,19306.909199140275,3794897.317244658,411950.2098617534
"(9, 45)",11077.322138369864,10181206.48630411,1694.7950285241916,6078714.506591781,18476.190774393424,3687442.3481758903,396562.3993189041
"(10, 0)",9549.298336872522,10049712.395849315,550.5966356030411,6090158.644460275,17461.228831496494,3562613.882987123,379466.98082539724
"(10, 15)",8415.278585029837,10099535.573287671,-344.8788105386055,6173062.476323287,16874.92702561726,3534796.839406575,374787.0323227123
"(10, 30)",7114.933019748296,9934816.385906849,-1375.3087959631782,6180712.729013699,16003.476061760275,3383498.183837808,354588.9405672055
"(10, 45)",6053.000722002987,9841476.110350685,-2139.818562472797,6205847.000175343,15240.427780881371,3279025.200447671,341348.93142402737
"(11, 0)",5118.184748174995,9722206.682345206,-2900.2048046711916,6223089.456087671,14487.867429116714,3158744.581468219,325869.57108676713
"(11, 15)",4368.939955446244,9727835.860879453,-3464.3256183716985,6267364.987087672,14118.209233785206,3124121.301369863,322213.0381096438
"(11, 30)",3165.1995615039723,9575311.721506849,-4269.043727207425,6281826.053512329,13230.78841200685,2975339.2383646574,304896.0162630685
"(11, 45)",2500.2468395312053,9483716.519443836,-4678.998066764685,6301473.813021917,12680.26699733726,2876431.594898904,293111.00036463013
"(12, 0)",1782.6441136955889,9365509.89060822,-5114.043149362275,6315090.82199452,12005.251532265644,2758682.6751139727,279710.6695333425
"(12, 15)",1453.002814287019,9372966.933460273,-5377.544048256219,6356325.920547945,11456.104245188768,2727205.537587671,277974.309883452
"(12, 30)",893.5066047947945,9230856.968142465,-5633.545519595287,6363231.8572739735,10960.962814264247,2594602.1778221917,262055.49800539727
"(12, 45)",672.9665217228493,9156582.582189042,-5698.29068897571,6382548.578528767,10490.373512227286,2511197.514981918,252338.10116756166
"(13, 0)",312.62043185643836,9054556.728830136,-5743.002668269921,6394978.399293151,10026.748167146301,2408842.9802621915,240701.31450983565
"(13, 15)",379.1695764101369,9007577.944931507,-5643.812537926658,6396764.691331507,9821.259330169316,2363633.4571753424,237366.01475975342
"(13, 30)",161.775911341737,8909042.871126028,-5518.431129117918,6417132.8462027395,9365.055790483575,2257222.501249041,225328.98448663016
"(13, 45)",400.0816669393151,8870339.093621917,-5068.198793364712,6451538.872482192,9090.530264436054,2191635.175874795,218079.74819391783
"(14, 0)",703.1086744059178,8822633.629219178,-4555.433635548685,6488693.845095891,8796.115078604027,2115325.089438356,209825.02614520548
"(14, 15)",1048.9457427689808,8781800.37988767,-4038.304149462685,6513703.536265753,8833.74941458022,2054251.9277413697,205013.14566328767
"(14, 30)",1515.6459606767671,8763861.864950685,-3404.413118683041,6566971.370010959,8486.155414985753,1990629.8417778083,197778.3808672329
"(14, 45)",2383.0116744212687,8778029.65869589,-2493.5049714538904,6628080.767879453,8371.13541814137,1948171.1474235617,193407.96063446574
"(15, 0)",3289.6461744410954,8804433.444117809,-1519.0430720953698,6695989.341139725,8182.966070641397,1910861.1347871232,189400.83946312327
"(15, 15)",4527.559145108275,8918562.547320547,-271.4228949697535,6807727.2330465745,8839.271393215342,1912277.4216424657,189713.14047367123
"(15, 30)",5544.108878211822,8953567.70208767,769.0452453653426,6870065.538731507,8753.626191773123,1887161.3925657533,187580.74998032875
"(15, 45)",6882.092278921425,9021455.166734247,2094.3987647921645,6938854.952884931,8716.638481181535,1885909.6543169864,187967.96018816438
"(16, 0)",8168.590806889479,9086964.365786301,3385.164034941836,7004071.310449315,8643.551148717343,1885406.4588263012,188838.07843621916
"(16, 15)",9637.189229962329,9307513.337783562,4742.640047521643,7176607.162682192,8586.206208951508,1929801.4231334245,192510.8347911781
"(16, 30)",10973.737262377535,9370646.504027396,6088.13886704441,7231290.524169863,8605.821743655068,1936878.2620249314,193866.08558131504
"(16, 45)",12437.570954727673,9447146.881134246,7467.479641980741,7276882.485389041,8636.59108018767,1963833.8141547944,197787.43984468494
"(17, 0)",13846.45548715989,9512964.87159452,8798.99655652663,7312578.357145205,8758.842160564931,1990477.2861608218,201143.35442564386
"(17, 15)",15675.611913075618,9720723.652583562,10556.156573576522,7474088.954904109,8874.582660419177,2030531.1119052055,207219.30898783563
"(17, 30)",16961.36427458356,9777669.45750959,11737.756578795836,7493419.404641096,9198.957443271507,2063966.7398383562,211075.2319960274
"(17, 45)",18286.903733263014,9821698.295117809,12923.127857866575,7488623.001605479,9536.562188908767,2107620.9747556164,215908.62375621917
"(18, 0)",19482.954223342465,9848491.81799452,13978.968995427396,7470177.971860275,9841.091832330136,2147816.902658904,220646.7673619726
"(18, 15)",20532.110129219178,9942139.904641096,15093.98297259178,7557458.163843836,10378.009034498631,2151519.925027123,222776.5272128219
"(18, 30)",21517.68347379178,9952991.991043836,15915.152059410959,7520048.617235616,10621.827047984109,2194848.5204526028,227466.14106356163
"(18, 45)",22291.11003398082,9938630.171221917,16625.46361831507,7459871.572969862,11087.997484000822,2235798.9192471234,231864.13269183564
"(19, 0)",22852.3361509863,9910776.440465754,17151.798726416437,7387842.678279452,11471.589814806739,2274828.9009824656,236624.663422
"(19, 15)",23528.582653808222,9937183.154019179,17858.397388583562,7418988.800273973,11426.445214499685,2271374.2255597264,235378.92251241097
"(19, 30)",23837.189769917808,9897930.68840822,18083.76696450959,7339979.161523287,11730.138677737536,2306329.9453547946,239875.7521790137
"(19, 45)",23968.690159753423,9848037.924060274,18166.502800164384,7251337.996342465,12114.045961396165,2340925.1621646574,243644.78203539725
"(20, 0)",24104.30982161644,9802953.291147945,18239.660861356162,7165281.0621205475,12462.62934081233,2377755.9136265754,247438.30394350685
"(20, 15)",24176.86678879452,9753825.623961644,18291.90012989589,7113949.02079726,11837.906594036165,2379034.851507123,248999.19306227396
"(20, 30)",24278.793107753427,9724949.30219452,18304.51084390959,7038332.941660274,12372.87983708548,2419846.2547972603,254393.54109750685
"(20, 45)",24090.874361643837,9668858.445367124,18046.421738849316,6937710.8160904115,12711.69792899863,2459453.733728767,258975.9541391233
