energy_type,element,value
electricity,range_oven,659.996
natural_gas,lighting,660.582
electricity,cooling_fans_pumps,661.168
electricity,cooling,661.461
electricity,lighting_exterior,663.807
electricity,cooling_fans_pumps,669.961
electricity,hot_tub_pump,674.063
natural_gas,lighting,676.994
electricity,dishwasher,679.926
electricity,hot_tub_pump,682.856
electricity,hot_tub_heater,691.355
natural_gas,range_oven,694.872
propane,range_oven,694.872
electricity,mech_vent,702.484
electricity,heating_hp_bkup,702.491
propane,clothes_dryer,707.473
natural_gas,lighting,709.232
electricity,clothes_washer,714.502
electricity,heating_fans_pumps,721.825
electricity,heating_hp_bkup,725.937
natural_gas,lighting,733.264
propane,clothes_dryer,734.729
electricity,mech_vent,739.124
electricity,mech_vent,739.416
electricity,hot_tub_pump,744.694
electricity,heating,747.038
electricity,lighting_interior,747.038
electricity,well_pump,747.332
electricity,clothes_washer,747.626
electricity,heating_fans_pumps,748.794
electricity,hot_tub_heater,753.779
natural_gas,clothes_dryer,755.83
natural_gas,grill,759.64
electricity,dishwasher,761.107
natural_gas,clothes_dryer,764.329
natural_gas,grill,766.967
electricity,clothes_dryer,767.26
propane,clothes_dryer,770.484
electricity,ceiling_fan,772.824
natural_gas,lighting,774.294
electricity,mech_vent,778.392
propane,range_oven,781.034
electricity,cooling,781.621
electricity,well_pump,786.31
natural_gas,clothes_dryer,787.189
propane,clothes_dryer,787.189
electricity,hot_tub_pump,788.068
electricity,hot_tub_heater,797.739
electricity,clothes_washer,800.079
natural_gas,grill,806.825
electricity,hot_tub_heater,812.686
propane,clothes_dryer,815.324
natural_gas,grill,821.185
electricity,mech_vent,827.336
natural_gas,grill,827.34
natural_gas,lighting,832.322
electricity,hot_tub_pump,833.787
natural_gas,range_oven,833.787
propane,range_oven,833.787
electricity,clothes_washer,840.819
natural_gas,lighting,843.165
electricity,hot_tub_heater,844.045
electricity,lighting_exterior,851.956
electricity,well_pump,852.545
electricity,clothes_washer,853.42
electricity,mech_vent,854.3
electricity,clothes_dryer,858.112
propane,range_oven,864.853
propane,range_oven,867.197
propane,clothes_dryer,868.662
propane,heating,875.989
electricity,clothes_washer,877.159
electricity,well_pump,880.385
electricity,cooling_fans_pumps,881.849
electricity,mech_vent,893.86
propane,heating,901.194
electricity,lighting_exterior,907.058
natural_gas,lighting,907.934
natural_gas,heating,918.484
electricity,lighting_exterior,918.488
electricity,heating_fans_pumps,921.686
electricity,well_pump,932.259
electricity,clothes_washer,934.891
natural_gas,lighting,937.241
electricity,heating_hp_bkup,940.464
natural_gas,lighting,941.051
natural_gas,lighting,946.62
electricity,heating_fans_pumps,947.205
propane,range_oven,947.206
propane,hot_water,953.36
natural_gas,lighting,955.119
electricity,freezer,959.223
natural_gas,lighting,970.652
propane,range_oven,971.824
electricity,clothes_dryer,972.41
electricity,heating_fans_pumps,986.184
electricity,mech_vent,987.056
electricity,clothes_washer,992.628
electricity,clothes_washer,994.386
electricity,clothes_washer,998.494
natural_gas,lighting,1004.062
natural_gas,heating,1004.648
natural_gas,clothes_dryer,1004.941
electricity,lighting_garage,1007.869
electricity,mech_vent,1018.712
propane,clothes_dryer,1019.008
electricity,mech_vent,1026.032
electricity,dishwasher,1027.214
electricity,heating_hp_bkup,1032.196
electricity,mech_vent,1043.028
electricity,dishwasher,1044.211
electricity,hot_tub_pump,1055.935
natural_gas,lighting,1055.935
natural_gas,lighting,1063.262
electricity,clothes_washer,1064.137
electricity,hot_tub_heater,1068.83
natural_gas,clothes_dryer,1068.83
electricity,well_pump,1076.743
electricity,clothes_washer,1078.213
natural_gas,range_oven,1080.846
propane,clothes_dryer,1087.001
electricity,well_pump,1092.57
propane,clothes_dryer,1095.207
electricity,cooling,1096.965
natural_gas,fireplace,1097.551
propane,clothes_dryer,1099.895
electricity,mech_vent,1100.188
natural_gas,lighting,1101.068
electricity,plug_loads,1107.223
electricity,heating_fans_pumps,1108.102
electricity,lighting_exterior,1108.689
natural_gas,grill,1109.274
electricity,range_oven,1114.549
electricity,heating_hp_bkup,1117.187
electricity,heating_hp_bkup,1117.481
electricity,dishwasher,1118.069
electricity,mech_vent,1127.444
propane,clothes_dryer,1127.444
electricity,lighting_exterior,1127.738
propane,heating,1139.167
electricity,dishwasher,1148.256
natural_gas,clothes_dryer,1150.597
natural_gas,fireplace,1152.355
electricity,mech_vent,1154.7
natural_gas,fireplace,1155.286
natural_gas,clothes_dryer,1166.716
electricity,range_oven,1167.302
natural_gas,grill,1167.302
natural_gas,lighting,1176.973
electricity,heating_fans_pumps,1184.887
natural_gas,clothes_dryer,1186.645
natural_gas,grill,1187.524
natural_gas,grill,1188.989
electricity,lighting_exterior,1190.162
electricity,heating_hp_bkup,1194.558
electricity,dishwasher,1196.905
natural_gas,clothes_dryer,1200.126
electricity,cooling_fans_pumps,1201.005
electricity,hot_tub_pump,1201.884
natural_gas,fireplace,1209.504
electricity,clothes_washer,1210.973
natural_gas,grill,1212.435
electricity,hot_tub_heater,1216.831
natural_gas,lighting,1222.4
electricity,dishwasher,1225.331
propane,clothes_dryer,1235.588
electricity,ceiling_fan,1238.232
electricity,well_pump,1242.036
electricity,dishwasher,1244.381
natural_gas,lighting,1254.051
electricity,dishwasher,1254.053
natural_gas,fireplace,1259.619
electricity,mech_vent,1265.184
propane,clothes_dryer,1269.877
natural_gas,lighting,1276.032
electricity,ceiling_fan,1278.677
electricity,freezer,1278.964
natural_gas,clothes_dryer,1284.237
electricity,hot_water,1288.633
electricity,hot_tub_pump,1288.634
electricity,pool_pump,1303.873
electricity,hot_tub_heater,1304.753
electricity,well_pump,1305.046
natural_gas,lighting,1309.442
electricity,clothes_washer,1312.368
natural_gas,fireplace,1317.648
natural_gas,lighting,1323.802
natural_gas,clothes_dryer,1325.853
natural_gas,lighting,1328.199
natural_gas,lighting,1328.491
electricity,hot_tub_heater,1328.784
natural_gas,range_oven,1330.543
fuel_oil,heating,1330.836
propane,hot_water,1330.836
natural_gas,fireplace,1343.438
natural_gas,clothes_dryer,1347.541
electricity,ceiling_fan,1347.544
electricity,well_pump,1349.299
fuel_oil,heating,1350.471
propane,range_oven,1351.351
electricity,refrigerator,1356.04
propane,clothes_dryer,1357.505
electricity,cooling,1360.143
electricity,hot_tub_pump,1362.194
natural_gas,clothes_dryer,1363.073
natural_gas,grill,1368.348
propane,heating,1369.228
propane,clothes_dryer,1370.107
electricity,lighting_exterior,1375.97
electricity,heating_hp_bkup,1378.312
electricity,hot_tub_heater,1378.606
natural_gas,lighting,1378.606
natural_gas,fireplace,1380.951
electricity,hot_tub_pump,1385.347
natural_gas,range_oven,1389.743
propane,range_oven,1389.743
electricity,dishwasher,1392.09
electricity,pool_pump,1392.381
propane,clothes_dryer,1393.259
propane,clothes_dryer,1397.069
electricity,ceiling_fan,1401.471
electricity,hot_tub_pump,1402.345
propane,heating,1403.517
electricity,heating_hp_bkup,1407.62
natural_gas,lighting,1407.913
electricity,hot_tub_heater,1419.637
natural_gas,grill,1426.963
electricity,ceiling_fan,1427.832
electricity,lighting_exterior,1429.015
electricity,well_pump,1429.894
electricity,well_pump,1432.825
electricity,heating_fans_pumps,1439.534
electricity,hot_tub_pump,1440.737
electricity,well_pump,1441.029
natural_gas,grill,1446.013
electricity,dishwasher,1453.927
electricity,hot_tub_heater,1458.322
propane,range_oven,1458.615
natural_gas,fireplace,1460.959
electricity,pool_pump,1465.648
electricity,cooling_fans_pumps,1465.649
electricity,ceiling_fan,1470.048
electricity,dishwasher,1472.685
electricity,dishwasher,1474.148
natural_gas,range_oven,1475.906
propane,range_oven,1475.906
electricity,mech_vent,1477.956
natural_gas,fireplace,1479.716
natural_gas,lighting,1487.629
electricity,hot_tub_pump,1491.145
propane,range_oven,1492.025
propane,clothes_dryer,1493.49
electricity,ceiling_fan,1495.824
electricity,heating_hp_bkup,1500.231
propane,clothes_dryer,1507.557
electricity,hot_tub_heater,1509.316
natural_gas,range_oven,1509.609
electricity,dishwasher,1516.938
electricity,clothes_washer,1516.941
natural_gas,grill,1523.969
natural_gas,lighting,1531.882
electricity,clothes_washer,1532.169
natural_gas,grill,1537.158
natural_gas,fireplace,1543.019
natural_gas,lighting,1544.778
fuel_oil,hot_water,1545.071
natural_gas,hot_tub_heater,1549.174
natural_gas,fireplace,1557.966
electricity,heating_hp_bkup,1562.655
electricity,clothes_washer,1562.943
electricity,clothes_dryer,1563.24
natural_gas,grill,1566.465
natural_gas,clothes_dryer,1566.758
electricity,heating_hp_bkup,1577.894
electricity,clothes_dryer,1579.36
electricity,hot_tub_pump,1582.877
natural_gas,fireplace,1584.049
natural_gas,grill,1588.738
propane,hot_water,1589.911
electricity,well_pump,1596.359
natural_gas,clothes_dryer,1597.53
electricity,freezer,1598.705
electricity,pool_heater,1606.909
natural_gas,fireplace,1608.081
electricity,dishwasher,1613.358
natural_gas,clothes_dryer,1615.407
electricity,pool_heater,1621.562
propane,hot_water,1630.354
electricity,ceiling_fan,1631.808
natural_gas,hot_tub_heater,1635.044
electricity,ceiling_fan,1635.36
electricity,heating,1647.353
electricity,dishwasher,1647.941
propane,range_oven,1648.525
electricity,lighting_exterior,1652.335
natural_gas,lighting,1660.833
electricity,pool_heater,1663.471
propane,range_oven,1665.816
natural_gas,fireplace,1667.867
electricity,ceiling_fan,1668.445
electricity,mech_vent,1677.82
fuel_oil,heating,1678.418
propane,heating,1684.572
electricity,lighting_exterior,1686.628
electricity,mech_vent,1688.956
electricity,pool_heater,1689.848
electricity,plug_loads,1691.02
natural_gas,lighting,1693.951
electricity,pool_pump,1704.501
electricity,heating_hp_bkup,1708.31
natural_gas,grill,1727.947
electricity,heating_fans_pumps,1734.095
fuel_oil,hot_water,1734.981
natural_gas,clothes_dryer,1744.066
natural_gas,lighting,1745.824
electricity,pool_heater,1749.341
natural_gas,hot_tub_heater,1759.599
natural_gas,clothes_dryer,1761.065
electricity,clothes_washer,1761.941
electricity,pool_pump,1770.735
electricity,dishwasher,1773.962
natural_gas,lighting,1775.425
electricity,dishwasher,1779.821
propane,range_oven,1787.44
natural_gas,hot_tub_heater,1792.13
electricity,well_pump,1794.474
natural_gas,hot_tub_heater,1795.06
propane,clothes_dryer,1795.647
electricity,heating_hp_bkup,1800.338
natural_gas,grill,1802.68
propane,range_oven,1803.56
propane,range_oven,1805.611
electricity,mech_vent,1811.452
electricity,dishwasher,1822.315
electricity,cooling,1835.797
propane,heating,1836.676
electricity,ceiling_fan,1837.56
electricity,mech_vent,1838.416
propane,range_oven,1839.021
electricity,mech_vent,1840.188
electricity,mech_vent,1844.276
electricity,mech_vent,1846.048
electricity,clothes_washer,1847.515
natural_gas,lighting,1848.693
electricity,ceiling_fan,1852.788
electricity,hot_tub_pump,1855.433
fuel_oil,hot_water,1862.467
propane,clothes_dryer,1869.793
natural_gas,clothes_dryer,1870.965
propane,range_oven,1872.432
electricity,lighting_exterior,1876.829
electricity,hot_tub_heater,1878.292
electricity,pool_heater,1878.292
electricity,ceiling_fan,1879.172
natural_gas,lighting,1889.136
electricity,hot_tub_pump,1890.308
natural_gas,grill,1894.412
natural_gas,lighting,1895.291
electricity,pool_heater,1899.101
electricity,mech_vent,1904.668
electricity,hot_tub_heater,1912.875
natural_gas,hot_tub_heater,1916.685
electricity,clothes_washer,1917.555
electricity,freezer,1918.446
electricity,dishwasher,1925.481
electricity,mech_vent,1925.752
electricity,dishwasher,1931.632
electricity,dishwasher,1943.649
electricity,mech_vent,1947.148
electricity,clothes_washer,1948.928
natural_gas,grill,1949.802
natural_gas,clothes_dryer,1953.612
propane,clothes_dryer,1953.612
electricity,ceiling_fan,1961.517
electricity,clothes_washer,1964.153
