energy_type,element,value
natural_gas,fireplace,11228.726
natural_gas,hot_tub_heater,11236.344
electricity,mech_vent,11253.316
electricity,lighting_interior,11287.631
electricity,ceiling_fan,11315.982
electricity,dishwasher,11316.951
natural_gas,clothes_dryer,11322.8
electricity,heating_hp_bkup,11332.471
propane,range_oven,11352.696
electricity,mech_vent,11385.428
electricity,heating_fans_pumps,11385.809
electricity,ceiling_fan,11411.608
natural_gas,range_oven,11418.046
electricity,lighting_exterior,11439.752
propane,clothes_dryer,11445.012
natural_gas,grill,11462.006
electricity,clothes_dryer,11481.646
natural_gas,clothes_dryer,11508.607
electricity,freezer,11510.676
electricity,cooling_fans_pumps,11518.859
natural_gas,grill,11520.328
fuel_oil,heating,11529.709
fuel_oil,hot_water,11534.397
electricity,heating_fans_pumps,11555.207
electricity,hot_tub_pump,11567.808
electricity,cooling,11572.496
electricity,pool_heater,11625.836
natural_gas,clothes_dryer,11654.557
electricity,hot_tub_heater,11709.948
electricity,hot_tub_pump,11720.204
electricity,lighting_exterior,11723.431
electricity,dishwasher,11747.189
electricity,hot_tub_heater,11772.372
electricity,mech_vent,11783.112
electricity,dishwasher,11801.702
natural_gas,hot_tub_heater,11815.454
electricity,range_oven,11824.828
electricity,freezer,11830.417
natural_gas,hot_tub_heater,11843.002
electricity,ceiling_fan,11896.07
electricity,lighting_exterior,11917.456
electricity,hot_water,11930.629
propane,hot_water,11950.265
electricity,ceiling_fan,12002.704
electricity,refrigerator,12020.893
natural_gas,grill,12034.378
electricity,hot_tub_pump,12049.91
electricity,pool_heater,12092.991
electricity,ceiling_fan,12096.223
electricity,range_oven,12125.81
electricity,well_pump,12134.61
natural_gas,hot_tub_heater,12144.867
natural_gas,range_oven,12167.137
electricity,plug_loads,12175.638
electricity,hot_tub_heater,12197.911
fuel_oil,heating,12216.081
electricity,ceiling_fan,12223.387
electricity,pool_pump,12262.972
natural_gas,range_oven,12285.249
electricity,heating_hp_bkup,12287.297
natural_gas,range_oven,12292.866
natural_gas,grill,12329.204
electricity,dishwasher,12342.994
electricity,refrigerator,12345.907
electricity,clothes_washer,12387.56
electricity,clothes_washer,12413.262
electricity,lighting_exterior,12440.003
natural_gas,grill,12456.397
electricity,freezer,12469.899
natural_gas,lighting,12470.472
electricity,ceiling_fan,12473.658
natural_gas,clothes_dryer,12486.585
electricity,lighting_exterior,12487.202
electricity,cooling_fans_pumps,12512.669
natural_gas,fireplace,12523.805
natural_gas,grill,12550.764
fuel_oil,heating,12576.852
electricity,heating_fans_pumps,12602.473
natural_gas,lighting,12642.795
natural_gas,lighting,12670.931
natural_gas,fireplace,12684.114
electricity,range_oven,12691.44
electricity,cooling_fans_pumps,12777.606
electricity,ceiling_fan,12780.196
electricity,hot_tub_pump,12785.224
electricity,heating_hp_bkup,12818.05
electricity,clothes_washer,12821.813
electricity,hot_tub_pump,12835.341
electricity,mech_vent,12854.856
propane,clothes_dryer,12856.734
natural_gas,grill,12864.941
natural_gas,lighting,12870.218
electricity,ceiling_fan,12896.537
natural_gas,lighting,12899.232
electricity,clothes_washer,12907.181
electricity,range_oven,12913.292
electricity,pool_heater,12935.865
electricity,hot_tub_heater,12941.433
electricity,hot_water,12967.221
natural_gas,grill,12990.666
electricity,lighting_interior,12995.357
propane,range_oven,13017.337
electricity,well_pump,13019.095
electricity,well_pump,13046.937
electricity,range_oven,13073.313
electricity,freezer,13109.381
propane,heating,13118.154
electricity,well_pump,13132.81
electricity,ceiling_fan,13138.071
electricity,lighting_exterior,13151.873
electricity,hot_tub_pump,13159.768
natural_gas,clothes_dryer,13182.044
electricity,hot_tub_heater,13184.093
electricity,mech_vent,13190.808
natural_gas,lighting,13208.423
natural_gas,fireplace,13252.088
electricity,clothes_washer,13261.987
propane,heating,13265.568
fuel_oil,heating,13279.929
electricity,range_oven,13291.063
electricity,ceiling_fan,13311.282
natural_gas,clothes_dryer,13313.926
electricity,ceiling_fan,13318.269
electricity,ceiling_fan,13344.711
electricity,lighting_garage,13346.426
electricity,mech_vent,13356.308
electricity,dishwasher,13368.766
electricity,heating_fans_pumps,13369.898
natural_gas,fireplace,13374.005
electricity,ceiling_fan,13385.733
electricity,freezer,13429.122
electricity,well_pump,13449.617
natural_gas,lighting,13457.532
natural_gas,range_oven,13481.564
propane,range_oven,13484.202
natural_gas,heating,13501.785
electricity,lighting_garage,13504.098
electricity,heating_fans_pumps,13521.702
propane,clothes_dryer,13563.619
natural_gas,clothes_dryer,13588.532
natural_gas,hot_water,13604.358
electricity,heating_fans_pumps,13604.657
electricity,well_pump,13619.31
electricity,heating_fans_pumps,13628.972
electricity,lighting_garage,13638.324
electricity,well_pump,13652.133
natural_gas,lighting,13663.855
natural_gas,fireplace,13671.178
natural_gas,hot_tub_heater,13693.454
electricity,mech_vent,13693.932
electricity,ceiling_fan,13698.355
natural_gas,hot_tub_heater,13701.074
natural_gas,lighting,13701.365
electricity,clothes_washer,13754.643
propane,hot_water,13773.169
natural_gas,range_oven,13784.894
electricity,pool_pump,13809.509
natural_gas,fireplace,13812.438
natural_gas,lighting,13813.908
propane,range_oven,13857.871
electricity,lighting_interior,13896.552
electricity,clothes_washer,13900.009
electricity,hot_tub_heater,13903.583
electricity,heating_hp_bkup,13930.255
electricity,hot_water,13937.287
propane,hot_water,13937.874
electricity,cooling_fans_pumps,13953.112
natural_gas,fireplace,13983.592
natural_gas,hot_tub_heater,14000.594
propane,heating,14001.177
electricity,ceiling_fan,14006.647
electricity,ceiling_fan,14030.43
electricity,clothes_dryer,14038.103
electricity,heating_hp_bkup,14038.984
electricity,freezer,14068.604
electricity,dishwasher,14080.325
electricity,mech_vent,14145.936
natural_gas,fireplace,14148.885
electricity,heating_fans_pumps,14169.691
natural_gas,clothes_dryer,14173.798
electricity,heating_hp_bkup,14182.295
natural_gas,hot_tub_heater,14185.521
electricity,clothes_washer,14209.496
electricity,hot_water,14221.275
electricity,clothes_dryer,14223.032
electricity,clothes_washer,14253.732
natural_gas,lighting,14273.441
natural_gas,grill,14279.298
propane,clothes_dryer,14293.076
electricity,cooling_fans_pumps,14294.537
electricity,clothes_washer,14310.12
propane,clothes_dryer,14358.135
propane,hot_water,14367.224
electricity,hot_tub_pump,14383.342
electricity,freezer,14388.345
natural_gas,fireplace,14393.597
electricity,well_pump,14422.617
natural_gas,clothes_dryer,14433.168
propane,clothes_dryer,14463.348
natural_gas,clothes_dryer,14477.125
electricity,mech_vent,14484.88
electricity,refrigerator,14519.91
electricity,well_pump,14539.551
electricity,cooling_fans_pumps,14545.411
natural_gas,heating,14568.269
electricity,well_pump,14571.781
propane,heating,14589.372
electricity,clothes_washer,14591.356
electricity,hot_water,14597.282
electricity,cooling_fans_pumps,14607.832
electricity,refrigerator,14612.225
electricity,cooling_fans_pumps,14631.28
electricity,clothes_washer,14634.427
natural_gas,grill,14647.1
fuel_oil,hot_water,14657.07
electricity,pool_pump,14692.237
electricity,clothes_washer,14697.456
electricity,freezer,14708.086
natural_gas,clothes_dryer,14710.992
propane,heating,14727.994
electricity,range_oven,14733.561
propane,range_oven,14771.661
natural_gas,grill,14772.245
natural_gas,range_oven,14783.972
fuel_oil,heating,14804.192
electricity,cooling_fans_pumps,14805.951
electricity,range_oven,14836.722
natural_gas,fireplace,14851.669
electricity,ceiling_fan,14854.931
natural_gas,fireplace,14855.478
electricity,mech_vent,14880.096
electricity,heating_fans_pumps,14883.61
natural_gas,grill,14915.561
natural_gas,range_oven,14950.728
electricity,hot_tub_pump,14969.777
electricity,dishwasher,15004.975
electricity,freezer,15027.827
propane,range_oven,15049.494
natural_gas,grill,15050.371
electricity,dishwasher,15081.747
electricity,well_pump,15094.329
natural_gas,clothes_dryer,15102.537
fuel_oil,heating,15113.382
electricity,dishwasher,15129.228
natural_gas,grill,15138.585
electricity,hot_tub_heater,15152.945
natural_gas,lighting,15154.415
electricity,ceiling_fan,15163.466
electricity,lighting_interior,15185.772
electricity,hot_tub_pump,15198.078
electricity,dishwasher,15237.364
electricity,clothes_dryer,15249.663
electricity,mech_vent,15263.312
electricity,ceiling_fan,15327.01
electricity,freezer,15347.568
propane,range_oven,15354.582
electricity,mech_vent,15376.988
electricity,hot_tub_heater,15384.473
electricity,cooling_fans_pumps,15392.386
natural_gas,range_oven,15454.81
electricity,dishwasher,15508.755
electricity,well_pump,15520.75
electricity,range_oven,15533.939
natural_gas,hot_tub_heater,15535.992
electricity,hot_tub_heater,15537.163
natural_gas,grill,15569.987
natural_gas,range_oven,15596.951
electricity,refrigerator,15620.094
fuel_oil,hot_water,15625.963
propane,clothes_dryer,15627.135
propane,clothes_dryer,15635.633
propane,clothes_dryer,15637.393
electricity,mech_vent,15639.62
electricity,freezer,15667.309
fuel_oil,hot_water,15686.922
electricity,well_pump,15692.2
electricity,cooling_fans_pumps,15737.622
natural_gas,hot_tub_heater,15752.865
electricity,pool_heater,15758.139
propane,range_oven,15765.466
natural_gas,lighting,15793.309
natural_gas,clothes_dryer,15794.771
electricity,hot_tub_pump,15807.667
electricity,heating_fans_pumps,15808.546
natural_gas,grill,15832.579
electricity,range_oven,15864.81
natural_gas,grill,15869.505
natural_gas,lighting,15870.387
electricity,lighting_exterior,15875.387
natural_gas,fireplace,15891.194
natural_gas,clothes_dryer,15902.622
electricity,lighting_exterior,15918.753
propane,range_oven,15933.396
natural_gas,hot_tub_heater,15934.273
natural_gas,clothes_dryer,15944.534
electricity,lighting_exterior,15958.899
electricity,freezer,15987.05
propane,clothes_dryer,15987.318
electricity,heating_fans_pumps,16022.755
electricity,dishwasher,16032.461
natural_gas,grill,16035.968
fuel_oil,hot_water,16035.97
natural_gas,range_oven,16059.71
natural_gas,clothes_dryer,16062.05
electricity,clothes_washer,16071.77
natural_gas,clothes_dryer,16108.65
electricity,hot_tub_pump,16168.437
electricity,cooling_fans_pumps,16174.884
natural_gas,clothes_dryer,16186.024
natural_gas,clothes_dryer,16190.417
electricity,clothes_washer,16207.08
natural_gas,clothes_dryer,16214.74
electricity,clothes_washer,16241.764
natural_gas,fireplace,16257.531
propane,heating,16261.339
electricity,clothes_dryer,16261.635
natural_gas,clothes_dryer,16273.648
electricity,mech_vent,16277.02
propane,range_oven,16296.804
propane,hot_water,16302.078
electricity,clothes_dryer,16323.469
electricity,cooling_fans_pumps,16329.334
electricity,ceiling_fan,16335.568
natural_gas,fireplace,16345.158
fuel_oil,heating,16380.621
electricity,well_pump,16389.417
electricity,plug_loads,16417.255
electricity,clothes_washer,16425.674
electricity,hot_water,16443.631
electricity,clothes_dryer,16458.58
fuel_oil,heating,16464.147
natural_gas,clothes_dryer,16472.355
electricity,well_pump,16479.681
electricity,lighting_exterior,16483.817
natural_gas,range_oven,16484.077
electricity,dishwasher,16500.501
electricity,ceiling_fan,16529.158
natural_gas,clothes_dryer,16557.342
natural_gas,clothes_dryer,16558.807
electricity,lighting_exterior,16582.553
electricity,ceiling_fan,16598.086
electricity,freezer,16626.532
propane,range_oven,16637.94
electricity,dishwasher,16640.904
electricity,cooling_fans_pumps,16652.3
electricity,ceiling_fan,16671.815
electricity,heating_hp_bkup,16672.519
electricity,heating_fans_pumps,16726.444
electricity,hot_tub_pump,16727.322
electricity,well_pump,16730.255
electricity,clothes_washer,16739.268
electricity,clothes_dryer,16754.873
electricity,pool_pump,16767.767
propane,clothes_dryer,16779.784
electricity,hot_tub_pump,16780.076
electricity,mech_vent,16833.256
natural_gas,fireplace,16846.603
propane,range_oven,16886.462
electricity,ceiling_fan,16898.869
electricity,heating,16914.01
electricity,mech_vent,16917.48
electricity,refrigerator,16927.483
natural_gas,fireplace,16937.456
electricity,clothes_washer,16944.439
electricity,well_pump,16952.105
electricity,hot_tub_heater,16956.799
electricity,plug_loads,16974.679
electricity,clothes_washer,16980.171
natural_gas,grill,16982.587
electricity,hot_tub_heater,16985.814
electricity,ceiling_fan,17030.678
propane,range_oven,17035.345
propane,range_oven,17043.258
electricity,clothes_washer,17097.69
electricity,pool_heater,17102.455
electricity,well_pump,17124.143
electricity,clothes_washer,17139.124
electricity,cooling_fans_pumps,17162.83
natural_gas,fireplace,17196.529
electricity,well_pump,17199.753
electricity,clothes_washer,17219.619
electricity,cooling_fans_pumps,17233.166
electricity,lighting_exterior,17238.178
fuel_oil,hot_water,17270.678
electricity,heating_fans_pumps,17284.146
electricity,lighting_exterior,17288.289
electricity,hot_tub_pump,17316.392
electricity,hot_tub_pump,17332.517
natural_gas,fireplace,17333.396
propane,range_oven,17343.949
natural_gas,grill,17351.561
natural_gas,range_oven,17362.119
electricity,lighting_exterior,17364.783
propane,clothes_dryer,17375.598
natural_gas,grill,17437.142
electricity,heating_hp_bkup,17443.589
electricity,ceiling_fan,17470.492
electricity,pool_pump,17487.843
electricity,mech_vent,17500.408
electricity,hot_tub_heater,17528.284
natural_gas,fireplace,17595.692
propane,range_oven,17607.716
natural_gas,clothes_dryer,17638.777
electricity,mech_vent,17700.604
electricity,well_pump,17703.838
electricity,heating_hp_bkup,17709.407
natural_gas,grill,17723.177
natural_gas,grill,17725.229
propane,heating,17744.867
electricity,lighting_exterior,17766.855
electricity,clothes_washer,17781.557
natural_gas,lighting,17843.928
natural_gas,clothes_dryer,17876.748
electricity,hot_tub_heater,17891.402
propane,range_oven,17913.972
natural_gas,lighting,17931.849
natural_gas,fireplace,17940.638
electricity,pool_pump,17942.982
electricity,hot_water,17946.206
propane,range_oven,17983.719
electricity,well_pump,18013.026
electricity,heating_fans_pumps,18059.625
natural_gas,clothes_dryer,18080.14
electricity,dishwasher,18094.835
natural_gas,fireplace,18106.516
electricity,mech_vent,18149.408
natural_gas,grill,18173.042
electricity,cooling_fans_pumps,18181.539
natural_gas,clothes_dryer,18188.283
electricity,lighting_exterior,18211.749
natural_gas,lighting,18292.032
natural_gas,fireplace,18293.203
electricity,heating_hp_bkup,18316.941
propane,range_oven,18331.595
electricity,well_pump,18361.199
electricity,lighting_exterior,18372.355
electricity,pool_pump,18399.293
natural_gas,clothes_dryer,18423.033
natural_gas,lighting,18440.622
electricity,lighting_interior,18444.137
propane,clothes_dryer,18509.784
natural_gas,clothes_dryer,18535.283
propane,range_oven,18563.705
electricity,cooling_fans_pumps,18566.931
natural_gas,grill,18575.427
propane,range_oven,18603.569
natural_gas,clothes_dryer,18607.67
natural_gas,lighting,18608.842
electricity,dishwasher,18613.253
natural_gas,clothes_dryer,18615.288
natural_gas,grill,18623.199
natural_gas,fireplace,18664.816
electricity,clothes_dryer,18688.259
electricity,pool_pump,18706.431
electricity,well_pump,18743.356
electricity,clothes_washer,18756.315
electricity,ceiling_fan,18800.344
electricity,well_pump,18806.073
electricity,heating,18813.112
electricity,freezer,18864.719
electricity,heating_fans_pumps,18883.707
natural_gas,fireplace,18893.998
electricity,mech_vent,18999.932
electricity,lighting_exterior,19038.516
propane,hot_water,19049.62
electricity,clothes_dryer,19093.288
electricity,dishwasher,19097.129
natural_gas,clothes_dryer,19109.107
electricity,lighting_interior,19153.662
electricity,mech_vent,19167.848
electricity,cooling_fans_pumps,19258.873
electricity,dishwasher,19261.532
electricity,mech_vent,19272.472
propane,range_oven,19291.994
propane,range_oven,19321.296
electricity,mech_vent,19322.332
propane,heating,19331.262
natural_gas,lighting,19371.413
electricity,freezer,19504.201
electricity,lighting_exterior,19542.883
electricity,range_oven,19590.626
natural_gas,lighting,19592.682
electricity,cooling_fans_pumps,19618.179
electricity,well_pump,19636.357
electricity,hot_tub_pump,19654.517
natural_gas,range_oven,19655.985
electricity,well_pump,19678.557
electricity,well_pump,19693.782
electricity,refrigerator,19705.509
electricity,ceiling_fan,19731.163
electricity,clothes_dryer,19830.359
natural_gas,clothes_dryer,19835.634
natural_gas,fireplace,19841.494
electricity,mech_vent,19857.272
natural_gas,grill,19866.411
electricity,lighting_interior,19875.201
electricity,range_oven,19993.302
electricity,ceiling_fan,20009.306
electricity,lighting_exterior,20048.138
electricity,lighting_exterior,20051.361
natural_gas,fireplace,20090.022
natural_gas,grill,20094.127
electricity,dishwasher,20101.759
natural_gas,fireplace,20141.309
electricity,mech_vent,20144.18
electricity,range_oven,20158.008
electricity,hot_tub_pump,20181.46
electricity,mech_vent,20232.16
electricity,heating_hp_bkup,20243.874
electricity,lighting_exterior,20281.429
electricity,hot_water,20284.621
electricity,heating_hp_bkup,20300.445
electricity,heating,20313.928
electricity,well_pump,20318.622
electricity,mech_vent,20323.836
fuel_oil,hot_water,20409.177
electricity,dishwasher,20420.63
electricity,range_oven,20436.72
electricity,well_pump,20441.417
electricity,lighting_interior,20450.794
electricity,mech_vent,20451.9
electricity,freezer,20463.424
natural_gas,hot_water,20505.891
natural_gas,pool_heater,20512.923
electricity,ceiling_fan,20533.584
fuel_oil,heating,20576.813
electricity,hot_tub_heater,20636.894
electricity,cooling,20647.442
propane,range_oven,20671.766
natural_gas,grill,20699.899
natural_gas,pool_heater,20704.3
electricity,lighting_exterior,20733.056
natural_gas,fireplace,20733.31
electricity,dishwasher,20781.401
electricity,dishwasher,20818.919
electricity,lighting_interior,20863.143
natural_gas,grill,20886.289
electricity,clothes_dryer,20887.469
propane,hot_water,20898.313
natural_gas,fireplace,20961.908
electricity,hot_tub_heater,20989.458
electricity,dishwasher,20992.407
electricity,heating,21002.056
electricity,dishwasher,21024.062
electricity,mech_vent,21044.092
natural_gas,hot_tub_heater,21044.553
propane,heating,21044.848
electricity,refrigerator,21056.854
electricity,hot_tub_heater,21063.898
natural_gas,range_oven,21102.587
electricity,clothes_washer,21153.95
natural_gas,lighting,21199.885
electricity,mech_vent,21234.752
electricity,dishwasher,21265.264
electricity,dishwasher,21269.364
electricity,ceiling_fan,21281.496
fuel_oil,heating,21281.942
natural_gas,fireplace,21312.712
fuel_oil,hot_water,21330.886
fuel_oil,hot_water,21350.813
electricity,heating_hp_bkup,21354.331
electricity,mech_vent,21362.232
electricity,freezer,21422.647
electricity,lighting_exterior,21466.315
electricity,cooling_fans_pumps,21469.214
propane,hot_water,21475.369
electricity,cooling,21504.091
electricity,dishwasher,21514.655
electricity,pool_heater,21518.158
electricity,clothes_washer,21520.711
propane,range_oven,21580
electricity,cooling,21595.231
natural_gas,fireplace,21627.763
natural_gas,range_oven,21639.197
fuel_oil,heating,21647.694
natural_gas,lighting,21656.782
electricity,heating_hp_bkup,21691.362
electricity,mech_vent,21706.12
electricity,freezer,21742.388
electricity,lighting_garage,21770.149
natural_gas,grill,21778.693
electricity,lighting_exterior,21783.42
electricity,clothes_washer,21815.547
propane,heating,21817.676
natural_gas,clothes_dryer,21825.589
electricity,refrigerator,21829.976
natural_gas,hot_water,21917.026
electricity,range_oven,21981.496
natural_gas,hot_tub_heater,21992.639
natural_gas,grill,21997.914
natural_gas,fireplace,22025.169
electricity,ceiling_fan,22043.446
electricity,clothes_washer,22058.062
electricity,freezer,22062.129
propane,hot_water,22128.037
electricity,heating_fans_pumps,22129.79
electricity,mech_vent,22130.496
natural_gas,clothes_dryer,22145.326
electricity,ceiling_fan,22159.389
natural_gas,heating,22161.448
natural_gas,grill,22171.119
electricity,hot_tub_heater,22172.586
electricity,hot_tub_pump,22203.063
electricity,mech_vent,22221.164
electricity,clothes_washer,22262.026
natural_gas,grill,22280.726
natural_gas,range_oven,22311.207
electricity,clothes_washer,22311.874
electricity,clothes_dryer,22320.877
electricity,freezer,22381.87
fuel_oil,heating,22386.82
electricity,clothes_washer,22413.099
electricity,hot_tub_pump,22463.309
electricity,well_pump,22488.51
electricity,mech_vent,22490.04
electricity,hot_water,22501.704
electricity,clothes_washer,22539.408
electricity,lighting_exterior,22543.051
natural_gas,hot_tub_heater,22563.249
natural_gas,hot_water,22683.114
electricity,clothes_washer,22781.491
electricity,lighting_exterior,22809.761
electricity,clothes_washer,22827.498
natural_gas,fireplace,22833.751
fuel_oil,heating,22846.648
propane,range_oven,22865.99
electricity,clothes_dryer,22872.44
electricity,range_oven,22881.518
natural_gas,hot_water,22942.774
electricity,freezer,23021.352
electricity,hot_tub_pump,23101.326
electricity,hot_tub_pump,23145.874
propane,hot_water,23182.508
electricity,well_pump,23189.25
electricity,well_pump,23190.711
electricity,clothes_washer,23212.881
electricity,ceiling_fan,23229.246
electricity,well_pump,23232.334
electricity,ceiling_fan,23243.131
natural_gas,range_oven,23247.28
electricity,mech_vent,23269.66
electricity,heating_fans_pumps,23276.584
natural_gas,clothes_dryer,23280.392
electricity,lighting_exterior,23326.734
natural_gas,hot_water,23328.457
natural_gas,clothes_dryer,23334.904
electricity,freezer,23341.093
electricity,hot_tub_heater,23383.553
electricity,lighting_exterior,23419.059
electricity,hot_tub_heater,23428.689
natural_gas,hot_tub_heater,23448.619
electricity,mech_vent,23506.708
electricity,hot_tub_pump,23511.037
electricity,dishwasher,23515.752
propane,range_oven,23528.915
electricity,pool_pump,23539.468
natural_gas,range_oven,23556.174
electricity,well_pump,23573.471
electricity,range_oven,23578.151
electricity,pool_pump,23578.152
electricity,heating_fans_pumps,23585.469
electricity,range_oven,23593.681
electricity,refrigerator,23602.764
electricity,hot_tub_heater,23655.524
electricity,freezer,23660.834
natural_gas,range_oven,23666.661
natural_gas,range_oven,23671.349
natural_gas,hot_tub_heater,23806.166
natural_gas,range_oven,23845.138
natural_gas,grill,23872.393
natural_gas,range_oven,23876.796
electricity,refrigerator,23890.853
electricity,hot_tub_pump,23921.632
electricity,clothes_washer,23925.343
electricity,hot_tub_pump,23937.167
electricity,lighting_interior,24015.709
electricity,dishwasher,24046.199
electricity,well_pump,24066.416
electricity,heating_fans_pumps,24086.634
natural_gas,clothes_dryer,24125.607
electricity,heating_hp_bkup,24143.781
electricity,plug_loads,24157.847
electricity,hot_tub_heater,24238.442
electricity,heating_fans_pumps,24250.45
electricity,cooling,24250.754
natural_gas,lighting,24277.427
propane,range_oven,24282.406
electricity,hot_tub_heater,24294.127
electricity,lighting_exterior,24309.11
electricity,lighting_exterior,24309.992
propane,range_oven,24312.295
propane,clothes_dryer,24370.614
natural_gas,hot_tub_heater,24371.495
natural_gas,grill,24382.047
fuel_oil,hot_water,24391.133
natural_gas,grill,24399.047
propane,hot_water,24482.279
electricity,heating_fans_pumps,24505.417
electricity,lighting_interior,24524.189
electricity,heating_hp_bkup,24542.064
natural_gas,grill,24548.512
natural_gas,grill,24549.096
electricity,range_oven,24563.157
natural_gas,range_oven,24632.623
natural_gas,clothes_dryer,24643.173
electricity,dishwasher,24644.089
electricity,range_oven,24661.928
natural_gas,range_oven,24667.497
propane,range_oven,24698.562
electricity,hot_tub_pump,24736.958
electricity,pool_pump,24795.275
electricity,dishwasher,24808.781
natural_gas,range_oven,24845.684
natural_gas,clothes_dryer,24879.977
electricity,well_pump,24933.606
electricity,well_pump,24949.728
electricity,range_oven,24960.268
natural_gas,hot_water,25003.943
electricity,hot_tub_heater,25039.7
electricity,clothes_washer,25053.077
natural_gas,lighting,25097.437
natural_gas,fireplace,25099.487
electricity,ceiling_fan,25104.497
electricity,lighting_exterior,25235.523
electricity,freezer,25259.539
electricity,heating_fans_pumps,25265.58
natural_gas,lighting,25307.279
electricity,pool_pump,25324.562
propane,range_oven,25377.027
electricity,heating_fans_pumps,25416.882
electricity,mech_vent,25462.364
electricity,pool_heater,25476.081
propane,heating,25501.579
electricity,pool_heater,25566.935
natural_gas,lighting,25588.624
natural_gas,grill,25612.064
electricity,clothes_washer,25661.068
electricity,ceiling_fan,25670.632
propane,clothes_dryer,25676.541
natural_gas,range_oven,25687.677
propane,heating,25716.107
propane,clothes_dryer,25722.26
electricity,heating_hp_bkup,25743.658
electricity,dishwasher,25788.807
electricity,mech_vent,25823.116
electricity,clothes_dryer,25828.937
electricity,refrigerator,25835.083
natural_gas,fireplace,25921.841
electricity,lighting_interior,25938.843
electricity,refrigerator,25969.311
electricity,range_oven,25988.072
electricity,cooling,26061.053
fuel_oil,heating,26094.462
electricity,freezer,26218.762
electricity,plug_loads,26234.551
electricity,cooling_fans_pumps,26238.067
electricity,clothes_washer,26249.563
natural_gas,fireplace,26261.804
electricity,hot_tub_heater,26266.787
electricity,heating_hp_bkup,26278.183
electricity,dishwasher,26280.287
electricity,lighting_exterior,26286.47
electricity,refrigerator,26287.289
propane,hot_water,26300.197
natural_gas,clothes_dryer,26321.588
electricity,cooling_fans_pumps,26398.081
electricity,clothes_washer,26405.854
electricity,freezer,26538.503
natural_gas,range_oven,26557.219
propane,range_oven,26589.17
electricity,dishwasher,26610.005
electricity,hot_tub_pump,26645.726
electricity,lighting_exterior,26702.01
electricity,clothes_washer,26746.918
fuel_oil,hot_water,26760.027
electricity,heating,26809.262
propane,hot_water,26824.796
electricity,ceiling_fan,26856.84
electricity,freezer,26858.244
propane,range_oven,26867.004
electricity,heating_fans_pumps,26920.924
propane,range_oven,26947.889
fuel_oil,hot_water,26956.089
electricity,hot_tub_heater,26971.035
fuel_oil,heating,26974.847
electricity,plug_loads,27025.549
electricity,well_pump,27051.34
fuel_oil,hot_water,27058.665
electricity,cooling_fans_pumps,27060.423
natural_gas,grill,27181.756
natural_gas,clothes_dryer,27260.88
electricity,dishwasher,27274.411
propane,heating,27300.156
electricity,lighting_garage,27333.797
electricity,hot_water,27388.958
natural_gas,grill,27526.111
natural_gas,fireplace,27571.245
electricity,heating,27637.188
electricity,clothes_dryer,27682.907
natural_gas,hot_tub_heater,27732.143
electricity,pool_pump,27774.636
natural_gas,fireplace,27803.355
electricity,well_pump,27859.636
electricity,well_pump,27953.411
fuel_oil,hot_water,27969.823
propane,range_oven,28012.905
electricity,clothes_washer,28022.195
natural_gas,range_oven,28075.037
electricity,cooling_fans_pumps,28092.62
natural_gas,range_oven,28210.436
natural_gas,hot_tub_heater,28250
natural_gas,hot_tub_heater,28251.464
propane,hot_water,28263.773
natural_gas,fireplace,28329.423
electricity,dishwasher,28329.451
electricity,ceiling_fan,28351.251
electricity,heating_fans_pumps,28420.787
propane,range_oven,28434.93
electricity,freezer,28456.949
natural_gas,grill,28648.572
electricity,ceiling_fan,28679.732
fuel_oil,heating,28744.41
natural_gas,lighting,28794.235
electricity,dishwasher,28802.451
propane,range_oven,28874.538
electricity,lighting_exterior,28919.71
electricity,well_pump,28937.542
propane,heating,28954.835
electricity,dishwasher,28963.368
electricity,well_pump,28975.941
natural_gas,grill,28987.952
propane,heating,28990.004
electricity,freezer,29096.431
natural_gas,fireplace,29190.464
electricity,cooling_fans_pumps,29322.639
electricity,clothes_washer,29334.542
electricity,cooling_fans_pumps,29373.635
electricity,cooling,29400.597
propane,range_oven,29408.215
natural_gas,clothes_dryer,29428.143
electricity,lighting_interior,29437.524
electricity,refrigerator,29520.448
electricity,plug_loads,29533.65
electricity,ceiling_fan,29553.036
electricity,range_oven,29641.782
electricity,cooling_fans_pumps,29647.956
natural_gas,grill,29710.078
electricity,mech_vent,29815.268
propane,heating,29827.894
electricity,well_pump,29853.092
natural_gas,clothes_dryer,29861.595
electricity,heating_fans_pumps,29878.889
electricity,clothes_dryer,29927.248
electricity,mech_vent,29970.892
electricity,range_oven,29985.557
natural_gas,grill,29988.49
electricity,well_pump,30012.234
electricity,clothes_dryer,30019.268
electricity,dishwasher,30035.999
natural_gas,hot_tub_heater,30060.889
electricity,pool_heater,30091.658
electricity,pool_pump,30106.897
electricity,dishwasher,30140.358
natural_gas,grill,30168.729
propane,range_oven,30194.53
electricity,hot_water,30220.609
propane,range_oven,30259.591
electricity,ceiling_fan,30319.402
propane,heating,30335.201
electricity,heating_fans_pumps,30358.929
electricity,freezer,30375.395
electricity,plug_loads,30423.413
electricity,heating_hp_bkup,30550.284
electricity,heating_hp_bkup,30559.105
electricity,range_oven,30560.566
propane,range_oven,30585.487
electricity,heating_hp_bkup,30618.895
electricity,heating_hp_bkup,30623.29
electricity,dishwasher,30627.427
electricity,mech_vent,30670.464
natural_gas,fireplace,30741.98
electricity,lighting_exterior,30742.019
