target,source,value
electricity,ceiling_fan,407.368
electricity,ceiling_fan,3243.698
electricity,ceiling_fan,12223.387
electricity,ceiling_fan,6708.382
electricity,ceiling_fan,13138.071
electricity,ceiling_fan,2816.703
electricity,ceiling_fan,73083.336
electricity,ceiling_fan,1852.788
electricity,ceiling_fan,313.292
electricity,ceiling_fan,503.787
electricity,ceiling_fan,177.014
electricity,ceiling_fan,6456.038
electricity,ceiling_fan,1470.048
electricity,ceiling_fan,1347.544
electricity,ceiling_fan,1837.56
electricity,ceiling_fan,245.008
electricity,ceiling_fan,10657.848
electricity,ceiling_fan,88305.691
electricity,ceiling_fan,200294.787
electricity,ceiling_fan,625092.761
electricity,ceiling_fan,174937.372
electricity,ceiling_fan,1487485.246
electricity,ceiling_fan,12002.704
electricity,ceiling_fan,37503.994
electricity,ceiling_fan,106857.075
electricity,ceiling_fan,42658.764
electricity,ceiling_fan,235853.164
electricity,ceiling_fan,18800.344
electricity,ceiling_fan,22043.446
electricity,ceiling_fan,79246.194
electricity,ceiling_fan,16898.869
electricity,ceiling_fan,219396.949
electricity,ceiling_fan,1668.445
electricity,ceiling_fan,623.358
electricity,ceiling_fan,772.824
electricity,ceiling_fan,270.795
electricity,ceiling_fan,10182.98
electricity,clothes_dryer,733177.925
electricity,clothes_dryer,872360.86
electricity,clothes_dryer,1233913.464
electricity,clothes_dryer,816382.852
electricity,clothes_dryer,14735955.67
electricity,clothes_dryer,178788.88
electricity,clothes_dryer,264839.531
electricity,clothes_dryer,266759.419
electricity,clothes_dryer,160045.244
electricity,clothes_dryer,3453780.271
electricity,clothes_dryer,197570.921
electricity,clothes_dryer,119888.626
electricity,clothes_dryer,127440.171
electricity,clothes_dryer,72385.917
electricity,clothes_dryer,2212223.137
electricity,clothes_dryer,22872.44
electricity,clothes_dryer,16261.635
electricity,clothes_dryer,10914.258
electricity,clothes_dryer,4622.024
electricity,clothes_dryer,290623.913
electricity,clothes_dryer,133114.341
electricity,clothes_dryer,114822.009
electricity,clothes_dryer,177546.532
electricity,clothes_dryer,130792.936
electricity,clothes_dryer,2936094.037
electricity,clothes_dryer,152120.293
electricity,clothes_dryer,116488.992
electricity,clothes_dryer,316566.245
electricity,clothes_dryer,286954.101
electricity,clothes_dryer,3509859.43
electricity,clothes_dryer,314476.094
electricity,clothes_dryer,237975.149
electricity,clothes_dryer,283205.688
electricity,clothes_dryer,226003.518
electricity,clothes_dryer,4943187.64
electricity,clothes_dryer,65561.757
electricity,clothes_dryer,30019.268
electricity,clothes_dryer,61430.918
electricity,clothes_dryer,34036.688
electricity,clothes_dryer,813115.402
electricity,clothes_dryer,366451.069
electricity,clothes_dryer,533400.769
electricity,clothes_dryer,344449.91
electricity,clothes_dryer,725660.386
electricity,clothes_dryer,6943669.608
electricity,clothes_dryer,141606.952
electricity,clothes_dryer,88390.23
electricity,clothes_dryer,33495.675
electricity,clothes_dryer,27682.907
electricity,clothes_dryer,1178649.453
electricity,clothes_dryer,101619.164
electricity,clothes_dryer,633405.725
electricity,clothes_dryer,1015863.37
electricity,clothes_dryer,1040392.688
electricity,clothes_dryer,4481552.064
electricity,clothes_dryer,97776.421
electricity,clothes_dryer,807193.915
electricity,clothes_dryer,564537.2
electricity,clothes_dryer,387548.41
electricity,clothes_dryer,5437405.059
electricity,clothes_dryer,135103.128
electricity,clothes_dryer,105553.648
electricity,clothes_dryer,49919.965
electricity,clothes_dryer,50203.949
electricity,clothes_dryer,1329991.356
electricity,clothes_dryer,5696.716
electricity,clothes_dryer,2725.561
electricity,clothes_dryer,858.112
electricity,clothes_dryer,369.856
electricity,clothes_dryer,37053.269
electricity,clothes_dryer,82762.681
electricity,clothes_dryer,25828.937
electricity,clothes_dryer,45585.732
electricity,clothes_dryer,9312.918
electricity,clothes_dryer,681101.846
electricity,clothes_dryer,257280.634
electricity,clothes_dryer,53985.444
electricity,clothes_dryer,74589.797
electricity,clothes_dryer,19093.288
electricity,clothes_dryer,1189629.048
electricity,clothes_dryer,520846.463
electricity,clothes_dryer,170656.443
electricity,clothes_dryer,265266.507
electricity,clothes_dryer,83680.875
electricity,clothes_dryer,3720995.424
electricity,clothes_dryer,795758.839
electricity,clothes_dryer,336495.689
electricity,clothes_dryer,464310.687
electricity,clothes_dryer,203495.653
electricity,clothes_dryer,5978985.369
electricity,clothes_dryer,113291.014
electricity,clothes_dryer,18688.259
electricity,clothes_dryer,37260.171
electricity,clothes_dryer,14223.032
electricity,clothes_dryer,618512.095
electricity,clothes_dryer,66851.556
electricity,clothes_dryer,122091.942
electricity,clothes_dryer,532629.378
electricity,clothes_dryer,279243.976
electricity,clothes_dryer,1631459.45
electricity,clothes_dryer,1315048.235
electricity,clothes_dryer,488277.487
electricity,clothes_dryer,1316157.191
electricity,clothes_dryer,651615.687
electricity,clothes_dryer,9366008.742
electricity,clothes_dryer,373625.447
electricity,clothes_dryer,83563.938
electricity,clothes_dryer,158526.228
electricity,clothes_dryer,82019.162
electricity,clothes_dryer,1723654.321
electricity,clothes_dryer,1057266.42
electricity,clothes_dryer,336147.517
electricity,clothes_dryer,1048544.329
electricity,clothes_dryer,423762.903
electricity,clothes_dryer,8275275.664
electricity,clothes_dryer,1101601.346
electricity,clothes_dryer,433353.911
electricity,clothes_dryer,1733080.683
electricity,clothes_dryer,1884533.73
electricity,clothes_dryer,11704750.7
electricity,clothes_dryer,136339.002
electricity,clothes_dryer,44606.294
electricity,clothes_dryer,92025.476
electricity,clothes_dryer,29927.248
electricity,clothes_dryer,1073512.834
electricity,clothes_dryer,1135794.802
electricity,clothes_dryer,421612.012
electricity,clothes_dryer,1358335.372
electricity,clothes_dryer,269601.35
electricity,clothes_dryer,8787118.434
electricity,clothes_dryer,45808.47
electricity,clothes_dryer,9184.261
electricity,clothes_dryer,16323.469
electricity,clothes_dryer,8098.725
electricity,clothes_dryer,230579.808
electricity,clothes_dryer,520093.271
electricity,clothes_dryer,215431.546
electricity,clothes_dryer,885040.283
electricity,clothes_dryer,147764.972
electricity,clothes_dryer,5309810.685
electricity,clothes_dryer,40756.215
electricity,clothes_dryer,8581.412
electricity,clothes_dryer,22320.877
electricity,clothes_dryer,5889.263
electricity,clothes_dryer,303408.829
electricity,clothes_dryer,522318.282
electricity,clothes_dryer,154466.616
electricity,clothes_dryer,273259.147
electricity,clothes_dryer,67093.354
electricity,clothes_dryer,3838420.73
electricity,clothes_dryer,40314.561
electricity,clothes_dryer,15249.663
electricity,clothes_dryer,31446.525
electricity,clothes_dryer,16458.58
electricity,clothes_dryer,399169.226
electricity,clothes_dryer,3189.2
electricity,clothes_dryer,347.582
electricity,clothes_dryer,59.2
electricity,clothes_dryer,0
electricity,clothes_dryer,14038.103
electricity,clothes_dryer,403303.278
electricity,clothes_dryer,252003.886
electricity,clothes_dryer,626588.262
electricity,clothes_dryer,380999.727
electricity,clothes_dryer,5254467.446
electricity,clothes_dryer,170139.174
electricity,clothes_dryer,76636.323
electricity,clothes_dryer,75914.77
electricity,clothes_dryer,71483.557
electricity,clothes_dryer,1339994.147
electricity,clothes_dryer,268855.768
electricity,clothes_dryer,130372.949
electricity,clothes_dryer,443539.597
electricity,clothes_dryer,181558.112
electricity,clothes_dryer,3148697.09
electricity,clothes_dryer,168658.289
